,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
2026,2880,2880,Fenster doppelverglast,,['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2802,Plastic,,,,,,,,2022-10-12,90.0,,,1970-01-01,90.0,1970-01-01 00:00:00.000,0.0,1.0,79.0,"Zürich, 8050",,useagain,90895,CH,de,2802_1_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90895,E03.01,window,,,,"{'score': 0.007658937014639378, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2802'}","{'score': 0.0006796173402108252, 'start': 13, 'end': 18, 'answer': ' 2802'}","{'score': 0.5317940711975098, 'start': 13, 'end': 18, 'answer': ' 2802'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2027,2881,2881,Fenster doppelverglast,,['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Prodkute-Nr.: 2797,Plastic,,,,,,,,2022-10-12,280.0,,,1970-01-01,280.0,1970-01-01 00:00:00.000,0.0,1.0,79.0,"Zürich, 8050",,useagain,90891,CH,de,2797_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90891,E03.01,window,,,,"{'score': 0.005823665764182806, 'start': 0, 'end': 13, 'answer': 'Prodkute-Nr.:'}","{'score': 0.00032486303825862706, 'start': 0, 'end': 18, 'answer': 'Prodkute-Nr.: 2797'}","{'score': 0.9236336350440979, 'start': 13, 'end': 18, 'answer': ' 2797'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2034,2888,2888,Fenster doppeltverglast,,['Sonstiges'],,,Gebäudehülle & Konstruktion,Fenster,Fenster,Produkte-Nr.: 2789,Plastic,,,,,,,,2022-10-12,200.0,,,1970-01-01,200.0,1970-01-01 00:00:00.000,0.0,1.0,16.0,"Zürich, 8050",,useagain,90872,CH,de,2789_2_570x570.jpg,https://www.useagain.ch/de/fenster-veka-doppeltverglast-90872,,window,,,,"{'score': 0.004381632432341576, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2789'}","{'score': 0.0002720749762374908, 'start': 13, 'end': 18, 'answer': ' 2789'}","{'score': 0.4872806966304779, 'start': 13, 'end': 18, 'answer': ' 2789'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2036,2890,2890,Fenster doppeltverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2790,Plastic,176.0,,"71,3",,,,,2022-10-12,190.0,,,1970-01-01,190.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90873,CH,de,2790_2_570x570.jpg,https://www.useagain.ch/de/fenster-veka-doppeltverglast-90873,E03.01,window,,,,"{'score': 0.004989936947822571, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2790'}","{'score': 0.0011746252421289682, 'start': 13, 'end': 18, 'answer': ' 2790'}","{'score': 0.7880649566650391, 'start': 13, 'end': 18, 'answer': ' 2790'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2037,2891,2891,Fenster doppelverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2792,Plastic,284.0,,102,,,,,2022-10-12,420.0,,,1970-01-01,420.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90882,CH,de,2792_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90882,E03.01,window,,,,"{'score': 0.006967797409743071, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2792'}","{'score': 0.00038786715595051646, 'start': 13, 'end': 18, 'answer': ' 2792'}","{'score': 0.5850008130073547, 'start': 13, 'end': 18, 'answer': ' 2792'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2039,2893,2893,Fenster doppeltverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2794,Plastic,86.0,,98,,,,,2022-10-12,130.0,,,1970-01-01,130.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90886,CH,de,2794_2_%281%29_570x570.jpg,https://www.useagain.ch/de/fenster-veka-doppeltverglast-90886,E03.01,window,,,,"{'score': 0.07920419424772263, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2794'}","{'score': 0.0005039974930696189, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2794'}","{'score': 0.4642534852027893, 'start': 13, 'end': 18, 'answer': ' 2794'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2040,2894,2894,Fenster doppelverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2791,Plastic,264.0,7.0,57,,,,,2022-10-12,230.0,,,1970-01-01,230.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90874,CH,de,2791_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90874,E03.01,window,,,,"{'score': 0.005900201853364706, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2791'}","{'score': 0.0004426507221069187, 'start': 13, 'end': 18, 'answer': ' 2791'}","{'score': 0.5502806305885315, 'start': 13, 'end': 18, 'answer': ' 2791'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2041,2895,2895,Fenster doppelverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2795,Plastic,76.0,7.0,70,,,,,2022-10-12,90.0,,,1970-01-01,90.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90887,CH,de,2795_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90887,E03.01,window,,,,"{'score': 0.0042570545338094234, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2795'}","{'score': 0.0004085453983861953, 'start': 13, 'end': 18, 'answer': ' 2795'}","{'score': 0.5805193185806274, 'start': 13, 'end': 18, 'answer': ' 2795'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2042,2896,2896,Fenster doppelverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2799,Plastic,192.0,,"222,5",,,,,2022-10-12,620.0,,,1970-01-01,620.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90893,CH,de,2799_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90893,E03.01,window,,,,"{'score': 0.006415587849915028, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2799'}","{'score': 0.0007125503616407514, 'start': 13, 'end': 18, 'answer': ' 2799'}","{'score': 0.5797328948974609, 'start': 13, 'end': 18, 'answer': ' 2799'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
2046,2900,2900,Fenster doppelverglast,"used, cleaned & tested",['E03.01'],Windows,,Gebäudehülle & Konstruktion,Fenster,Wandfenster,Produkte-Nr.: 2798,Plastic,99.0,7.0,75,,,white,,2022-10-12,120.0,,,1970-01-01,120.0,1970-01-01 00:00:00.000,0.0,1.0,127.0,"Zürich, 8050",,useagain,90892,CH,de,2798_2_570x570.jpg,https://www.useagain.ch/de/fenster-doppelverglast-90892,E03.01,window,,,,"{'score': 0.005608405917882919, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2798'}","{'score': 0.0004244159790687263, 'start': 13, 'end': 18, 'answer': ' 2798'}","{'score': 0.5390262603759766, 'start': 13, 'end': 18, 'answer': ' 2798'}",Prismatic glass,Double window steam sight glasses,Pr_65_52_34_24,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels
