,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
1063,1910,1910,Waschmaschine Miele -,mixed,['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trocknen,"sehr gut erhaltene Waschmaschine aus 2-er Haushalt von MIELE: W 26-25 CH, mit Licht in Trommel
Bitte beachten Sie, dass dieses Bauteil extern gelagert ist und wir mind. 1 Tag vorher Info benötigen, um es in den Laden an der Arbergstrasse 11 holen zu können",,,,,,,,,,575.0,,,1970-01-01,575.0,1970-01-01 00:00:00.000,0.0,1.0,5.0,,,useagain,80121,CH,de,,https://www.useagain.ch/de/waschmaschine-miele-w-26-25-ch-80121,,washing machine,,,,"{'score': 2.1549656594288535e-05, 'start': 54, 'end': 73, 'answer': ' MIELE: W 26-25 CH,'}","{'score': 0.21971245110034943, 'start': 61, 'end': 73, 'answer': ' W 26-25 CH,'}","{'score': 0.011354025453329086, 'start': 61, 'end': 73, 'answer': ' W 26-25 CH,'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
1118,1967,1967,Waschmaschine Hoover,"used, cleaned & tested",['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trockner,"Die Hoover H-WASH 300 PRO Serie schützt Ihre Kleidung dank einer breiten Auswahl von Programmen für die Wäschepflege. Ausgestattet mit dem neuen Inverter-Motor sorgen diese Waschmaschinen für die perfekte Behandlung Ihrer täglichen Wäsche und schonen alle Stoffe und Farben. Erzielen Sie hocheffiziente Ergebnisse - bequem in ihrer Wohnung. Mit der fortschrittlichen Wi-Fi- und NFC-Technologie können Sie den Waschvorgang jederzeit direkt von Ihrem Smartphone aus verwalten und steuern.

Diese Hoover - Serie bietet eine grosse Auswahl an Waschoptionen , sodass Sie die Lebensdauer der Fasern all Ihrer Lieblingskleidung verlängern können , ohne auf die höchste Reinigungsqualität verzichten zu müssen .

Während der ersten vier Minuten eines Waschgangs wird das Gewicht der Wäsche durch spezielle Sensoren geschätzt und Wasser , Energieverbrauch und Waschgangsdauer entsprechend angepasst .

Baujahr: 2020
Garantie: 6 Monate
Energieeffizienz: B
Hersteller:Hoover
Mängel: keine
Spannung: 230V
Zuladung: 8 kg
Zustand: occasion/gebraucht

Artikelnr: 112239",Mixed,60.0,40.0,85,,,,B,2022-09-27,599.0,,,1970-01-01,599.0,1970-01-01 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90594,CH,de,112239_570x570.jpg,https://www.useagain.ch/de/waschmaschine-hoover-wa-1408tdi-90594,J01.02,washing machine,,,,"{'score': 0.25567713379859924, 'start': 585, 'end': 592, 'answer': ' Fasern'}","{'score': 0.0030281979124993086, 'start': 1002, 'end': 1007, 'answer': ' 8 kg'}","{'score': 0.29858681559562683, 'start': 1002, 'end': 1007, 'answer': ' 8 kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Other,Other,Sanitary fittings and accessories
1508,2359,2359,Waschmaschine Miele,"used, cleaned & tested",['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trockner,Produkte-Nr.: 2782,,,,,,,,,2022-10-11,250.0,,,1970-01-01,250.0,1970-01-01 00:00:00.000,0.0,1.0,92.0,"Zürich, 8050",,useagain,90857,CH,de,2782_2_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-90857,J01.02,washing machine,,,,"{'score': 0.005998377222567797, 'start': 0, 'end': 18, 'answer': 'Produkte-Nr.: 2782'}","{'score': 0.00045465011498890817, 'start': 13, 'end': 18, 'answer': ' 2782'}","{'score': 0.616150438785553, 'start': 13, 'end': 18, 'answer': ' 2782'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
1531,2382,2382,Waschmaschine Miele -,"used, cleaned & tested",,,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Elektrogerät,"Baujahr: 2000
Garantie: 6 Monate
Hersteller: Miele
Masse: H: 84 cm, B: 60 cm, T: 60cm
Spannung: 3x 400 V
Zuladung: 5 kg
Zustand: occasion/gebraucht

Artikel Nr: 111790",,,,,,,,,2022-10-17,159.0,,,1970-01-01,159.0,1970-01-01 00:00:00.000,0.0,1.0,14.0,"Münchenstein, 4142",,useagain,90934,CH,de,111790_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-w-900-89-wps-90934,,washing machine,,,,"{'score': 5.48083289686474e-06, 'start': 80, 'end': 85, 'answer': ' 60cm'}","{'score': 0.7781888842582703, 'start': 57, 'end': 85, 'answer': ' H: 84 cm, B: 60 cm, T: 60cm'}","{'score': 0.33834293484687805, 'start': 114, 'end': 119, 'answer': ' 5 kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
1587,2438,2438,Waschmaschine Miele,"used, cleaned & tested",,,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Elektrogerät,"Baujahr: 2011
Energieeffizienz: B
Garantie: 6 Monate
Hersteller: Miele
Masse: H: 85 cm, B: 60 cm, T: 67 cm
Mängel: mittlere Mängel
Spannung: 230 V
Zuladung: 6.5 kg
Zustand: occasion/gebraucht

Artikel Nr: 112249",,,,,,,,,2022-10-06,649.0,,,1970-01-01,649.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Münchenstein, 4142",,useagain,90802,CH,de,1122491_%281%29_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-pw-5065-lp-90802,,washing machine,,,,"{'score': 2.54675626365497e-07, 'start': 64, 'end': 70, 'answer': ' Miele'}","{'score': 0.8550213575363159, 'start': 77, 'end': 106, 'answer': ' H: 85 cm, B: 60 cm, T: 67 cm'}","{'score': 0.7420231103897095, 'start': 156, 'end': 163, 'answer': ' 6.5 kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
1588,2439,2439,Waschmaschine Miele,"used, cleaned & tested",['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trocknen,"Garantie: 6 Monate
Energieeffizienz: A
Hersteller: Miele
Masse:H: 85 cm, B: 60 cm, T:67 cm
Mängel: Gebrauchsspuren
Zustand: occasion/gebraucht

Artikelnr:  112249",,,,,,,,,2022-09-27,649.0,,,1970-01-01,649.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Münchenstein, 4142",,useagain,90600,CH,de,1122491_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-pw-5065-lp-90600,,washing machine,,,,"{'score': 0.0010696793906390667, 'start': 98, 'end': 114, 'answer': ' Gebrauchsspuren'}","{'score': 0.8470699787139893, 'start': 56, 'end': 90, 'answer': '\nMasse:H: 85 cm, B: 60 cm, T:67 cm'}","{'score': 0.01197019312530756, 'start': 56, 'end': 90, 'answer': '\nMasse:H: 85 cm, B: 60 cm, T:67 cm'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
2080,2935,2935,Waschmaschine Miele,"used, cleaned & tested",['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trocknen,"Hersteller: Miele
Modell: WCE330
Jahrgang: 2019
Energieklasse: A+++
Freistehend
Füllmenge: 8 Kg
Frontlader
Türbandung rechts
Anschluss: 230V/400V Stecker ist nicht montiert!
Bedienungsanleitung dabei",,,,,,,,,2022-12-05,650.0,,,1970-01-01,650.0,1970-01-01 00:00:00.000,0.0,1.0,10.0,"Brügg, 2555",,useagain,91444,CH,de,_dsc9605_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-91444,,washing machine,,,,"{'score': 7.046538712529582e-07, 'start': 106, 'end': 117, 'answer': '\nTürbandung'}","{'score': 0.0015840179985389113, 'start': 67, 'end': 124, 'answer': '\nFreistehend\nFüllmenge: 8 Kg\nFrontlader\nTürbandung rechts'}","{'score': 0.9135326743125916, 'start': 90, 'end': 95, 'answer': ' 8 Kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
2590,3774,3774,Waschmaschine Miele,,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschküche & Trockner,"Hersteller: Miele
Baujahr: 2009
Masse: H: 85cm B: 59cm T: 61cm
Farbe: weiss
Spannung: 230 V
Zuladung: 5kg
Garantie: 6 Monate
Mängel: ohne Mängel
Zustand: occasion/gebraucht

Artikel Nr: 112017",,,,,,,white,,2023-02-16,150.0,,,1970-01-01,150.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Münchenstein, 4142",,useagain,91953,CH,de,112017_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-91953,J01.02,washing machine,,,,"{'score': 0.003965453244745731, 'start': 69, 'end': 75, 'answer': ' weiss'}","{'score': 0.7495588660240173, 'start': 38, 'end': 62, 'answer': ' H: 85cm B: 59cm T: 61cm'}","{'score': 0.7551892399787903, 'start': 101, 'end': 105, 'answer': ' 5kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
3305,4516,4516,Waschmaschine Miele,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Modell: WKK230
Baujahr: 2014
Zuladung: 8kg
Spannung: 230/400V
Garantie: 6 Monate

Artikelnummer: 113504",,60.0,60.0,85,,,,A,2023-05-09,409.0,,,1970-01-01,409.0,1970-01-01 00:00:00.000,0.0,1.0,6.0,"Münchenstein, 4142",,useagain,92506,CH,de,113504_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-92506,H03.05,washing machine,,,,"{'score': 0.007969258353114128, 'start': 7, 'end': 14, 'answer': ' WKK230'}","{'score': 0.005664943717420101, 'start': 38, 'end': 42, 'answer': ' 8kg'}","{'score': 0.8153799772262573, 'start': 38, 'end': 42, 'answer': ' 8kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
3679,4929,4930,Waschmaschine Miele,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",Mobilier,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Modell: W375 W300-75
Baujahr: 1999
Zuladung: 5kg
Spannung: 400V
Garantie: 6 Monate
Kombimöglichkeit mit 92742

Interne Artikelnummer: 112927",,65.0,60.0,85,,,white,,2023-06-19,,,,,,,,0.0,,"Münchenstein, 4142",,useagain,92740,CH,de,112927_570x570.jpg,https://www.useagain.ch/de/waschmaschine-miele-92740,H03.05,washing machine,179.0,,,"{'score': 0.0115986792370677, 'start': 7, 'end': 20, 'answer': ' W375 W300-75'}","{'score': 0.5009384155273438, 'start': 7, 'end': 20, 'answer': ' W375 W300-75'}","{'score': 0.21157115697860718, 'start': 44, 'end': 48, 'answer': ' 5kg'}",Sitka spruce,Machine parts cleaning washer units,Pr_40_70_13_50,Technical elements,Other,Sanitary fittings and accessories
