,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
84,844,844,Nabenlampen,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Tischlampen, Wandlampen aus den Naben alter Speichenräder.
Wählbar als Tischleuchte oder Wandleuchte. Mit LED-Beleuchtung. Jedes Stück ein Einzelstück. Duch die Löcher der entfernten Speichen entsteht ein ausserordentlich schönes Lichtdesign. Ein UPCYCLING-Produkt von Artantic. Haben Sie ähnliche Ideen für aus alt mach neu? Teilen Sie es uns mit. Wir sind ständig auf der Suche und dankbar für neuen Ideen.
Die Lampen können nebst weiteren Antiquitäten und Kunstgegenstände bei Artantic in 7166 Trun besichtigt werden. Vereinbaren Sie ein Termin unter 079 216 96 96. Lieferung nach Rücksprache möglich. Bezahlung: Bar, Banküberweisung, PayPal.
Artantic: Der Speziallist für Innendekorationen in Symbiose der Antike und Moderne. In diesem Bereich bieten wir alle Dienstleistungen an. BERATUNG â€“ SUCHAUFTRÄGE â€“ ANKAUF â€“ RESTAURATION und VERKAUF von Kunstobjekten und Antiquitäten. Ihre Wünsche sind unsere Inspirationsquelle. Rufen Sie an.",Metal,,,25,15,,,,,225.0,,,1970-01-01,225.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,78835,CH,de,img_2282-%282%29_570x570.jpg,https://www.useagain.ch/de/led-nabenlampen-78835,D01,lamp,,,,"{'score': 0.5021209120750427, 'start': 43, 'end': 58, 'answer': ' Speichenräder.'}","{'score': 0.00015910564980003983, 'start': 122, 'end': 151, 'answer': ' Jedes Stück ein Einzelstück.'}","{'score': 0.483658105134964, 'start': 122, 'end': 151, 'answer': ' Jedes Stück ein Einzelstück.'}",Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Technical elements,"Floors, Ceiling",Power and lighting outlet products
86,846,846,runde Wand oder Deckenleuchte neu,like new,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"runde Wandleuchte oder Deckenleuchte (Lampe) mit EVG , äusserer Rand leuchtet zur Decke - indirekt;
für 2 runde FL: 20 u 40 W (Nicht im Lieferumfang enthalten) neu OVP",Mixed,,,"8,8",45,,,,,50.0,,,1970-01-01,50.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,79616,CH,de,20200309_091505_570x570.jpg,https://www.useagain.ch/de/runde-wand-oder-deckenleuchte-neu-79616,D01,ceiling light,,,,"{'score': 0.2146647423505783, 'start': 54, 'end': 68, 'answer': ' äusserer Rand'}","{'score': 0.5665666460990906, 'start': 115, 'end': 125, 'answer': ' 20 u 40 W'}","{'score': 0.0706147700548172, 'start': 115, 'end': 125, 'answer': ' 20 u 40 W'}",Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Furnishings,"Floors, Ceiling",Glass blocks and panels
91,852,852,Leuchtstoffröhren- Leuchtmittel,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Diverse Leuchtmittel

Artikelnr: 107158",Glass,,,150,,,,,2022-07-26,2.0,,,1970-01-01,2.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Münchenstein, 4142",,useagain,82848,CH,de,dsc00789_570x570.jpg,https://www.useagain.ch/de/leuchtstoffroehren-leuchtmittel-82848,D01,fluorescent tube,,,,"{'score': 0.0013612775364890695, 'start': 32, 'end': 39, 'answer': ' 107158'}","{'score': 0.1711355447769165, 'start': 0, 'end': 20, 'answer': 'Diverse Leuchtmittel'}","{'score': 0.2514073848724365, 'start': 0, 'end': 20, 'answer': 'Diverse Leuchtmittel'}",Lignite,Pendant luminaires,Pr_70_70_48_62,Technical elements,"Floors, Ceiling",Air and fume distribution products
124,889,889,Licht Paneel,"used, cleaned & tested","['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Licht Paneel
Lichtsystem: Regent oder Zumtobel
Boden- oder Wandmontage
Leuchtmittel: 4 x Neonröhre
230V / kein Stecker montiert!",Mixed,10.0,121.0,180,,,,,2023-02-02,130.0,,,1970-01-01,130.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,78612,CH,de,1-test_570x570.png,https://www.useagain.ch/de/licht-paneel-78612,D01,,,,,"{'score': 0.023763436824083328, 'start': 0, 'end': 12, 'answer': 'Licht Paneel'}","{'score': 0.01988852582871914, 'start': 46, 'end': 70, 'answer': '\nBoden- oder Wandmontage'}","{'score': 0.27894264459609985, 'start': 84, 'end': 86, 'answer': ' 4'}",Reflective glass,Pendant luminaires,Pr_70_70_48_62,Openings,"Floors, Ceiling","Lighting columns, brackets and bollards"
149,914,914,Hängeleuchtenca,mixed,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,2 extrem teure LED Leuchten - hängend - mit Holz(Buche geölt) -Gehäuse beide inkl. Vorschaltgeräten u Farbreger (NP sei ca 8'000.-- gewesen),,,,,,,,,,495.0,,,1970-01-01,495.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,,,useagain,81134,CH,de,,https://www.useagain.ch/de/led-haengeleuchtenca-jg-2008-81134,D01,LED,,,,"{'score': 0.7222874760627747, 'start': 43, 'end': 54, 'answer': ' Holz(Buche'}","{'score': 0.00032976167858578265, 'start': 43, 'end': 61, 'answer': ' Holz(Buche geölt)'}","{'score': 0.28212594985961914, 'start': 122, 'end': 131, 'answer': "" 8'000.--""}",Pisé,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards"
150,915,915,Deckenleuchte,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,Deckenleuchte mit Leuchtröhre,Metal,29.0,130.0,"11,5",,,,,2023-02-02,40.0,,,1970-01-01,40.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,77937,CH,de,1_%28120%29_570x570.jpg,https://www.useagain.ch/de/deckenleuchte-77937,D01,ceiling light,,,,"{'score': 0.0006864319439046085, 'start': 0, 'end': 13, 'answer': 'Deckenleuchte'}","{'score': 0.0061941067688167095, 'start': 0, 'end': 29, 'answer': 'Deckenleuchte mit Leuchtröhre'}","{'score': 0.0005628920043818653, 'start': 0, 'end': 13, 'answer': 'Deckenleuchte'}",Sitka spruce,Pendant luminaires,Pr_70_70_48_62,Furnishings,Furnishings,Power and lighting outlet products
203,975,975,Stehleuchte,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"REGENT, NP ca 1200.--, 4 x 55 Watt kompakt FL (können heute auch durch LED ersetzt werden, 2 Stufen
Hauptlichtanteil geht an Decke, strahlt aber auch nach unten",Metal,40.0,58.0,180,,,,,,190.0,,,1970-01-01,190.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,76913,CH,de,20180612_141635_570x570.jpg,https://www.useagain.ch/de/stehleuchte-76913,D01,lighting,,,,"{'score': 1.3985038549435558e-06, 'start': 42, 'end': 45, 'answer': ' FL'}","{'score': 0.020468568429350853, 'start': 22, 'end': 34, 'answer': ' 4 x 55 Watt'}","{'score': 0.6580899953842163, 'start': 22, 'end': 34, 'answer': ' 4 x 55 Watt'}",Silt,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels",Furnishings,"Lighting columns, brackets and bollards"
206,978,978,Stromschiene mit Leuchten,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"Stromschiene:
Hersteller: Concord Luminance Made in UK.
Farbe: weiss
Montageart: Deckenmontage 2x Anfang und 2x End Stücke
Schienen: 13 Stk.
Anschluss: 230/240V 16A Max.

Ersatzteile für Stromschiene siehe letztes Photo

Masse:
11 x L 301cm
1 x L 279cm
1 x L 200cm

Stromschienen Strahler
20 Stk.
schwenk- und drehbar
26W TC-D G 24d-3
230/240V 50Hz",Mixed,,,3.790,,,,,2022-12-08,400.0,,,1970-01-01,400.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,77144,CH,de,hintergrund-mit-text_570x570.png,https://www.useagain.ch/de/stromschiene-mit-leuchten-77144,D01,lighting,,,,"{'score': 0.17228758335113525, 'start': 62, 'end': 68, 'answer': ' weiss'}","{'score': 0.12278970330953598, 'start': 227, 'end': 240, 'answer': '\n11 x L 301cm'}","{'score': 0.10655192285776138, 'start': 132, 'end': 140, 'answer': ' 13 Stk.'}",Pisé,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards"
207,979,979,"Wand-WC , rechteckig",,['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,WC-Anlagen,"Hersteller: Ideal Standard
Farbe: weiss
Anschlüsse: waagrecht Kaltwasser ø 7.0cm, Schmutzabwasser ø 10.0cm
Lochabstand für Wandmontage: 23.0cm
inkl. Sitzgarnitur
ohne Montagematerial",Ceramic,,,,,,,,,100.0,,,1970-01-01,100.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,81814,CH,de,,https://www.useagain.ch/de/wand-wc-rechteckig-81814,,WC,,,,"{'score': 0.0010025303345173597, 'start': 34, 'end': 40, 'answer': ' weiss'}","{'score': 0.08901987224817276, 'start': 63, 'end': 83, 'answer': ' Kaltwasser ø 7.0cm,'}","{'score': 0.0027361109387129545, 'start': 76, 'end': 83, 'answer': ' 7.0cm,'}",Wychert,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units
210,983,983,Einbauspots Dimmbar,used & cleaned,"['D01.05', 'J01.03']",Electrical installations,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Leuchten & Lampen,"9 neuwertige Einbauspots inkl. Tranfo - Dimmbar, 10 W,: LUMOtech LEDlight 1-12 VA L05021 MiniDim",Plastic,,,"7,5",5,,,,,10.0,,,1970-01-01,10.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,76796,CH,de,20180609_130112_570x570.jpg,https://www.useagain.ch/de/einbauspots-led-10w-dimmbar-76796,D01,LED,,,,"{'score': 5.996835898258723e-05, 'start': 55, 'end': 64, 'answer': ' LUMOtech'}","{'score': 0.03418179228901863, 'start': 73, 'end': 81, 'answer': ' 1-12 VA'}","{'score': 0.12111255526542664, 'start': 0, 'end': 1, 'answer': '9'}",Gravel,Pendant luminaires,Pr_70_70_48_62,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures
