,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
226,1002,1002,Aufsatzwaschbecken,,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Hersteller: Villeroy &amp; Boch
Material: Keramik
Farbe: Weiss
Montageart: Aufsatz, ohne Montagematerial!
Ablauf mit Stöpsel
ohne Überlauf",Ceramic,,,,,,,,,70.0,,,1970-01-01,70.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,82580,CH,de,,https://www.useagain.ch/de/aufsatzwaschbecken-82580,J01.02,sink,,,,"{'score': 0.9727158546447754, 'start': 42, 'end': 50, 'answer': ' Keramik'}","{'score': 2.3895052436273545e-05, 'start': 11, 'end': 31, 'answer': ' Villeroy &amp; Boch'}","{'score': 2.212455228800536e-06, 'start': 11, 'end': 31, 'answer': ' Villeroy &amp; Boch'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
588,1405,1405,Handwaschbecken antik,used & cleaned,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"rel gut erhaltens Handwaschbecken für Armaturn von der Wand ,  ohne Abplatzungen im Becken, Siebventil ist nicht mehr so schön verchromt",Ceramic,33.0,54.0,,,,,,2022-06-24,125.0,,,1970-01-01,125.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,74043,CH,de,20180316_155302_570x570.jpg,https://www.useagain.ch/de/handwaschbecken-antik-74043,J01.02,sink,,,,"{'score': 1.8824782728188438e-06, 'start': 126, 'end': 136, 'answer': ' verchromt'}","{'score': 5.45381881238427e-05, 'start': 0, 'end': 59, 'answer': 'rel gut erhaltens Handwaschbecken für Armaturn von der Wand'}","{'score': 1.4074498722038697e-05, 'start': 0, 'end': 33, 'answer': 'rel gut erhaltens Handwaschbecken'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,Other,Other,Sanitary fittings and accessories
832,1664,1664,Designer-Waschtisch freistehend,used & cleaned,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Der Waschtisch wurde vor 10 Jahren eingebaut, damaliger Neupreis CHF 2500.-
Marke: Catalano, Modell Muse
Ohne Überlauf, inkl. Befestigungsmaterial am Boden",Ceramic,37.0,60.0,85,,,,,,500.0,,,1970-01-01,500.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,81026,CH,de,img_20210226_172633_570x570.jpg,https://www.useagain.ch/de/designer-waschtisch-freistehend-81026,J01.02,sink,,,,"{'score': 0.0032020353246480227, 'start': 104, 'end': 119, 'answer': '\nOhne Überlauf,'}","{'score': 4.42544805991929e-05, 'start': 119, 'end': 155, 'answer': ' inkl. Befestigungsmaterial am Boden'}","{'score': 0.0007447947282344103, 'start': 119, 'end': 155, 'answer': ' inkl. Befestigungsmaterial am Boden'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,Furnishings,Furnishings,Sanitary fittings and accessories
848,1680,1680,Waschtisch Lavabo,"used, cleaned & tested",['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Wandbecken 
Mit Marken Armatur Kugler
Hersteller: Villeroy Boch
Farbe: Weiss matt
Lochabstand für Montage innen 29.0 cm
Mit Stöpsel
Höhe Armatur: 16 cm",Ceramic,58.0,80.0,31,,,,,2023-02-02,150.0,,,1970-01-01,150.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,77857,CH,de,1_%28122%29_570x570.jpg,https://www.useagain.ch/de/waschtisch-lavabo-77857,J01.02,sink,,,,"{'score': 0.34170177578926086, 'start': 70, 'end': 81, 'answer': ' Weiss matt'}","{'score': 0.10127747803926468, 'start': 111, 'end': 119, 'answer': ' 29.0 cm'}","{'score': 0.000917778059374541, 'start': 0, 'end': 10, 'answer': 'Wandbecken'}",Lignite,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products
852,1684,1684,Einbauwaschbecken Einlegewaschtisch,used & cleaned,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Einlegewaschtisch ohne Armatur
Hersteller: CESAME
Farbe: Hellgrau
Lochabstand Montage: 38 cm
Mit Hahnlochbohrung,  ² 3,6 cm
Bemerkungen:
Ohne Stöpsel
Ohne Ablaufgarnitur",Ceramic,49.0,57.0,19,,,,,2023-02-02,70.0,,,1970-01-01,70.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,77751,CH,de,1_%28124%29_570x570.jpg,https://www.useagain.ch/de/einbauwaschbecken-einlegewaschtisch-77751,J01.02,sink,,,,"{'score': 0.3378410041332245, 'start': 56, 'end': 65, 'answer': ' Hellgrau'}","{'score': 0.4085182249546051, 'start': 86, 'end': 92, 'answer': ' 38 cm'}","{'score': 0.0046050064265728, 'start': 114, 'end': 123, 'answer': ' ² 3,6 cm'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
923,1756,1756,Aufsatzwaschtisch,like new,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Aufsatzwaschtisch KUBE X
60 x 37 cm, Keramik
ohne Ueberlauf
weiss
ohne Armaturenloch
standart",Ceramic,37.0,60.0,,,,white,,,350.0,,,1970-01-01,350.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Aarberg, 3270",,useagain,90110,CH,de,img_6814_570x570.jpg,https://www.useagain.ch/de/aufsatzwaschtisch-kube-x-90110,J01.02,sink,,,,"{'score': 0.15969409048557281, 'start': 36, 'end': 44, 'answer': ' Keramik'}","{'score': 0.4680235981941223, 'start': 24, 'end': 36, 'answer': '\n60 x 37 cm,'}","{'score': 0.21495479345321655, 'start': 24, 'end': 36, 'answer': '\n60 x 37 cm,'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Covering, Finish",Sanitary fittings and accessories
1003,1846,1846,Aufsatzwaschtisch,like new,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Aufsatzwaschtisch MITRA
39 x 14,5 cm
Mineralguss, ohne Ueberlauf
ohne Armaturenloch
weiss matt
mit Schaftventil weiss matt",Artificial stone,,,"14,5",39,,white,,2022-06-29,799.0,,,1970-01-01,799.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Aarberg, 3270",,useagain,90109,CH,de,img_6815_570x570.jpg,https://www.useagain.ch/de/aufsatzwaschtisch-mitra-90109,J01.02,sink,,,,"{'score': 0.9780926704406738, 'start': 36, 'end': 49, 'answer': '\nMineralguss,'}","{'score': 0.5665134787559509, 'start': 23, 'end': 36, 'answer': '\n39 x 14,5 cm'}","{'score': 0.05069588124752045, 'start': 23, 'end': 36, 'answer': '\n39 x 14,5 cm'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Covering, Finish",Sanitary fittings and accessories
1138,1987,1987,Lavabo Reisser,"used, cleaned & tested",['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Hersteller: Reisser
Garantie: ohne Garantie
Lochabstand: 28 cm 
Masse: H: 23 cm B: 55/60.5 cm T: 48 cm
Mängel: Gebrauchsspuren
Material: Keramik
Zustand: occasion/gebraucht

Artikel Nr: 105720",Ceramic,,23.0,"60,5",,,white,,2022-10-19,50.0,,,1970-01-01,50.0,1970-01-01 00:00:00.002,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,91049,CH,de,105720_1_570x570.jpg,https://www.useagain.ch/de/lavabo-reisser-91049,J01.02,sink,,,,"{'score': 0.9871988892555237, 'start': 136, 'end': 144, 'answer': ' Keramik'}","{'score': 0.3854658603668213, 'start': 70, 'end': 102, 'answer': ' H: 23 cm B: 55/60.5 cm T: 48 cm'}","{'score': 0.00018389607430435717, 'start': 185, 'end': 192, 'answer': ' 105720'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories
1202,2051,2051,Waschtisch mit Granitabdeckung,defective,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Waschtisch mit Ablage und Unterbau;mit Chromstahlbecken; ohne Armatur,
Granitabdeckung (T: rechts: 31cm), Graniträndli sind nicht vorhanden",,51.0,132.0,"60,5",,,,,,250.0,,,1970-01-01,250.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,73476,CH,de,20170223_083731_570x570.jpg,https://www.useagain.ch/de/waschtisch-mit-granitabdeckung-73476,J01.02,sink,,,,"{'score': 0.06030673906207085, 'start': 70, 'end': 86, 'answer': '\nGranitabdeckung'}","{'score': 0.000301581370877102, 'start': 98, 'end': 105, 'answer': ' 31cm),'}","{'score': 1.5061928024806548e-05, 'start': 25, 'end': 70, 'answer': ' Unterbau;mit Chromstahlbecken; ohne Armatur,'}",Sitka spruce,Pedestal washbasins,Pr_40_20_96_63,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories
1207,2056,2056,Waschfontäne,used & cleaned,['J01.02'],Use-specific furniture,,Gebäudetechnik & Sanitär,Sanitär,Waschtisch & Lavabos,"Waschfontäne (NP: 4500.--), Höhe mit Armaturen 110cm, Fuss aus Glasfaser, Seifenschale ebenfalls  - dieser fehlt ein Stück Rand  kein Foto)",Mixed,,140.0,80,140,,,,,690.0,,,1970-01-01,690.0,1970-01-01 00:00:00.000,0.0,1.0,179.0,,,useagain,71179,CH,de,07.04.2016-002a_570x570.jpg,https://www.useagain.ch/de/waschfontaene-71179,J01.02,,,,,"{'score': 0.01206291001290083, 'start': 62, 'end': 73, 'answer': ' Glasfaser,'}","{'score': 0.012123916298151016, 'start': 27, 'end': 53, 'answer': ' Höhe mit Armaturen 110cm,'}","{'score': 0.003827859880402684, 'start': 17, 'end': 27, 'answer': ' 4500.--),'}",Water,Pedestal washbasins,Pr_40_20_96_63,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Headwall and swale inlet products
