,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
350,1143,1143,Komplette Küche mit Geräten,used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Schöne Küche aus Holz mit Schränken und Geräten

Vom Käufer selbst fachgerecht abzubauen und transportieren.",Mixed,,,,,,,,,500.0,,,1970-01-01,500.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Grabs, 9472",,useagain,81314,CH,de,img_0060_570x570.jpg,https://www.useagain.ch/de/komplette-kueche-mit-geraeten-81314,G05.02,kitchen,,,,"{'score': 0.9882113933563232, 'start': 16, 'end': 21, 'answer': ' Holz'}","{'score': 2.8914033464388922e-05, 'start': 48, 'end': 108, 'answer': '\nVom Käufer selbst fachgerecht abzubauen und transportieren.'}","{'score': 6.1562927839986514e-06, 'start': 48, 'end': 108, 'answer': '\nVom Käufer selbst fachgerecht abzubauen und transportieren.'}",Porcelain,Kitchen worktops,Pr_40_30_30_46,Technical elements,"Stairs, Ramps, Lift, Hardware","Floor plates, gratings and edgings"
1259,2110,2110,"Sehr schöne Küche , top Zustand inkl . Einbaugeräte","used, cleaned & tested",['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"- Baujahr 2008
- Marke ALNO 21 VME
- Frontfarbe Vanille
- Arbeitsplatte Birke-Nachbildung cognac
- mit Tür- und Schubladendämpfern

Abmessungen:
- Abschnitt Kombination Tief-/und Hochschränke: LxHxT= 4300(+100) x 2320 x 630mm
- Abschnitt Schränke: : LxHxT= 1200(+230) x 2230 x 630mm
- Abschnitt Einzelaufstellung Tief- und Hochschrank: LxHxT= 600(+20) x 2320 x 630mm

Die Küche wurde im Jahre 2008 eingebaut und ist in einem sehr guten Zustand.

Multifunktionsbackofen AEG, neuwertig (Baujahr 2020) 
- Artikelnummer: BEB230010M
- SurroundCook, MAxiKlasse
- Extra grosser Garraum 71L
- Temperaturbereich 50 â€“ 275OC
- Innenwände Longclean-Emaille
- 8 Beheizungsarten

Geschirrspüler Bauknecht EK 60cm, sehr guter Zustand (Baujahr 2018)	
- Artikelnummer: BCIC3C26E
- optische Betriebsanzeige mit Lichtpunkt am Boden
- 1 Sensor Automatik-Programm und 7 Standard-Programme
- für 14 Massgedecke
- mit 1-12 h Startvorwahlzeit
- sehr leise mit nur 46 dB(A)

Glaskeramikkochfeld Bauknecht 60cm, Zustand gebraucht (Baujahr 2008) 
- Artikelnummer: ETPS 6640 IN
- 4 elektronisch geregelte Sprint-Star-Kochzonen, davon 1 Duo-Zweikreiskochzone
- Touch-Control

Kühl-Gefrierkombination Bauknecht, Zustand gebraucht (Baujahr 2008)
- Artikelnummer: KGI 3112/A
- Nische 180cm
- FCKW/FKW-frei
- Nutzinhalt 263L, davon 198L Kühlzone und 65L Gefrierraum ****  
- Abtauautomatik
- Energieeffizienzklasse Â«AÂ»

Dampfabzug Bauknecht, Zustand gebraucht (Baujahr 2008) 
- Artikelnummer: DKN 1390 IN
- Edelstahl, AB- Umluftbetrieb
- Motor mit Doppelabsaugung
- 3 Gebläsestufen 

Vermassung der Küche und Installationspläne sind in vorhanden",Wood,,,,,,,,,2000.0,,,1970-01-01,2000.0,1970-01-01 00:00:00.000,0.0,1.0,179.0,"Wohlen, 5610",,useagain,90835,CH,de,,https://www.useagain.ch/de/sehr-schoene-kueche-top-zustand-inkl.-einbaugeraete-90835,G05.02,kitchen,,,,"{'score': 0.038593780249357224, 'start': 1477, 'end': 1488, 'answer': ' Edelstahl,'}","{'score': 0.00014225028280634433, 'start': 192, 'end': 210, 'answer': ' LxHxT= 4300(+100)'}","{'score': 0.019032949581742287, 'start': 1288, 'end': 1294, 'answer': ' 263L,'}",Porcelain,Kitchen worktops,Pr_40_30_30_46,Furnishings,Furnishings,"Floor plates, gratings and edgings"
1583,2434,2434,Komplette Küche von inkl . Küchengeräte in gutem Zustand,"used, cleaned & tested",['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Komplette, einwandfrei funktionsfähige und sorgfältig behandelte Küche zu verkaufen, Baujahr 2008 (Sabag Küchenbau)
Das Angebot beinhaltet alle Küchengeräte, Möbel, Bartisch und -hocker (3 Stück). Normale Gebrauchsspuren, aber grundsätzlich in sehr gutem Zustand (siehe Fotos). Alle Geräte funktionieren einwandfrei, der Verkauf erfolgt aufgrund Eigentümerwechsel im Haus und Umbau Küche, lediglich der Einbau-TV hat keine Fernbedienung.

Inklusive folgender Küchengeräte:
- Kompaktbackofen (Heissluft, Mikrowelle, Grill): Electrolux EBC SL9
- Steamer: Electrolux EBC GL7
- Glaskeramikkochfeld: Electrolux GK 69TC
- Dunstabzugshaube: Wesco WH Scala 200
- Kühlschrank / Tiefkühler Kombination: VZUG Cooltronic EK1423-EA
- Geschirrspüler: Electrolux GA60GLV400 - 911937206-02
- Philips TV (Fernbedienung fehlt)
- Müllex Abfalleimersystem

Wichtig:
Angebot gilt nur für die ganze Küche. Es muss die gesamte Küche selbständig ausgebaut und mitgenommen werden. Küchen-Schiebetüre gehört nicht zum Angebot dazu.

Bei Interesse kann ich gerne noch umfangreichere Fotos, Gerätekennzeichen und Bemassungen zur Verfügung stellen.",,,,,,,,,,2500.0,,,1970-01-01,2500.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Nussbaumen, 5415",,useagain,91263,CH,de,,https://www.useagain.ch/de/komplette-kueche-von-2008-inkl.-kuechengeraete-in-gutem-zustand-91263,G05.02,kitchen,,,,"{'score': 0.7495335936546326, 'start': 573, 'end': 594, 'answer': ' Glaskeramikkochfeld:'}","{'score': 0.00010288976045558229, 'start': 185, 'end': 196, 'answer': ' (3 Stück).'}","{'score': 0.6067066788673401, 'start': 185, 'end': 196, 'answer': ' (3 Stück).'}",Porcelain,Kitchen worktops,Pr_40_30_30_46,Furnishings,Furnishings,"Floor plates, gratings and edgings"
1973,2824,2824,Komplette Küche inkl . Küchengeräte in gutem Zustand,used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Komplette, einwandfrei funktionsfähige und sorgfältig behandelte Küche zu verkaufen, Baujahr 2008 (Sabag Küchenbau)
Das Angebot beinhaltet alle Küchengeräte, Möbel, Bartisch und -hocker (3 Stück). Normale Gebrauchsspuren, aber grundsätzlich in sehr gutem Zustand (siehe Fotos). Alle Geräte funktionieren einwandfrei, der Verkauf erfolgt aufgrund Eigentümerwechsel im Haus und Umbau Küche, lediglich der Einbau-TV hat keine Fernbedienung.

Inklusive folgender Küchengeräte:
- Kompaktbackofen (Heissluft, Mikrowelle, Grill): Electrolux EBC SL9
- Steamer: Electrolux EBC GL7
- Glaskeramikkochfeld: Electrolux GK 69TC
- Dunstabzugshaube: Wesco WH Scala 200
- Kühlschrank / Tiefkühler Kombination: VZUG Cooltronic EK1423-EA
- Geschirrspüler: Electrolux GA60GLV400 - 911937206-02
- Philips TV (Fernbedienung fehlt)
- Müllex Abfalleimersystem

Wichtig:
Angebot gilt nur für die ganze Küche. Es muss die gesamte Küche selbständig ausgebaut und mitgenommen werden. Küchen-Schiebetüre gehört nicht zum Angebot dazu.

Bei Interesse kann ich gerne noch umfangreichere Fotos zur Verfügung stellen.",,,,,,,,,,1000.0,,,1970-01-01,1000.0,1970-01-01 00:00:00.000,0.0,1.0,11.0,"Nussbaumen, 5415",,useagain,91353,CH,de,,https://www.useagain.ch/de/komplette-kueche-2008-inkl.-kuechengeraete-in-gutem-zustand-91353,G05.02,kitchen,,,,"{'score': 0.7489120960235596, 'start': 573, 'end': 594, 'answer': ' Glaskeramikkochfeld:'}","{'score': 0.0010582531103864312, 'start': 185, 'end': 196, 'answer': ' (3 Stück).'}","{'score': 0.6013211011886597, 'start': 185, 'end': 196, 'answer': ' (3 Stück).'}",Porcelain,Kitchen worktops,Pr_40_30_30_46,Furnishings,Furnishings,"Floor plates, gratings and edgings"
2096,2952,2952,"Küche , zweizeilig , komplett mit Geräten",mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Gut erhaltene Küche, Schweizer Qualität (Hans Eisenring Küchenbau AG, Sirnach), Fronten Holz, KH-belegt, Farbe Champagner mit Abdeckung Naturstein Granit Steel Grey, 2-teilig, 17-jährig, Euro-Norm 60 cm, Länge der Küchenzeile mit dem Kochherd/Spüle 397cm, alles in gutem Zustand, inkl. Geräte (neuwertig!)
- Geschirrspüler V-ZUG Adora S (4 jährig)
- Steamer, V-ZUG Combi-Steam SL (17 jährig)
- Backofen V-ZUG Combair SEP (4-jährig)
- Wärmeschublade V-ZUG (17-jährig)
- Glaskeramikkochfeld Toptronic V-ZUG GK44TEVF (17-jährig)
- Kühlschrank V-ZUG Prestige i (4-jährig)
- Einzelbecken und Ausguss Suter Silver Steel
- Mischbatterie KWC Domo mit Auszugbrause
- Dampfabzug V-ZUG Chrome Class DF-SLG9/C (17-jährig)

Die Küche muss in Oberengstringen selber demontiert und abtransportiert werden. Abholung im Januar 2023.",,,,,,,,,2022-12-08,4200.0,,,1970-01-01,4200.0,1970-01-01 00:00:00.000,0.0,1.0,9.0,"Oberengstringen, 8102",,useagain,91470,CH,de,kche_20180709_143552__64a4262_2_570x570.jpg,https://www.useagain.ch/de/kueche-zweizeilig-komplett-mit-geraeten-91470,G05.02,kitchen,,,,"{'score': 0.7499098777770996, 'start': 87, 'end': 93, 'answer': ' Holz,'}","{'score': 0.12021128088235855, 'start': 248, 'end': 255, 'answer': ' 397cm,'}","{'score': 0.5866081714630127, 'start': 165, 'end': 175, 'answer': ' 2-teilig,'}",Sitka spruce,Kitchen worktops,Pr_40_30_30_46,Furnishings,"Floors, Ceiling","Floor plates, gratings and edgings"
2293,3151,3151,Ganze Küche,used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Die Küche wurde vor 11 Jahren eingebaut. Wir verkaufen diese nun an Interessierte.
Die Einbauschränke sind in sehr gutem Zustand. Backofen, Kühlschrank und Geschirrspüler sind inbegriffen. Alles V-Zug Geräte. Auch der kleine Tisch mit Klappmechanismus wäre im Umfang inbegriffen. Interessierte könnten sich die Küche ansehen und prüfen, ob diese allenfalls etwas für sie wäre.
Die Masse der Küche könnte ich bei Bedarf nachliefern. Die Küche ist aber eher klein.",Mixed,250.0,300.0,350,,100,mixed,C,,500.0,,,1970-01-01,500.0,1970-01-01 00:00:00.000,0.0,1.0,,"Zürich, 8047",,useagain,91748,CH,de,kche1_%282%29_570x570.jpg,https://www.useagain.ch/de/ganze-kueche-91748,G05.02,kitchen,,,,"{'score': 0.0018692688317969441, 'start': 194, 'end': 200, 'answer': ' V-Zug'}","{'score': 6.05783388891723e-05, 'start': 431, 'end': 462, 'answer': ' Die Küche ist aber eher klein.'}","{'score': 0.000999930314719677, 'start': 380, 'end': 386, 'answer': ' Masse'}",Sitka spruce,Kitchen worktops,Pr_40_30_30_46,Furnishings,Furnishings,"Floor plates, gratings and edgings"
3407,4636,4637,Küche,gebraucht & gereinigt,['G05.02'],,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Hänggeli-Küche von 2002, gut erhalten und gut gepflegt. Alle Geräte intakt.

Muss am 7.6. demontiert werden. Entweder selber oder auf Rechnung.

Preis verhandelbar",,,,,,,,,,300.0,,,1970-01-01,300.0,2023-09-25 00:00:00.000,,0.0,4.0,"Hilterfingen, 3652",,,92624,,,kche_hilterfingen_bild_570x570.png,https://www.useagain.ch/de/kueche-92624,,,,,,"{'score': 2.6618650394993892e-08, 'start': 0, 'end': 14, 'answer': 'Hänggeli-Küche'}","{'score': 5.075736680737464e-06, 'start': 0, 'end': 24, 'answer': 'Hänggeli-Küche von 2002,'}","{'score': 3.4686763683566824e-06, 'start': 18, 'end': 24, 'answer': ' 2002,'}",Pisé,Kitchen worktops,Pr_40_30_30_46,"Roof, Slabs, Stairs",Furnishings,"Floor plates, gratings and edgings"
3631,4881,4882,Küche,"used, cleaned & tested",['G05.02'],Fitted kitchens,Mobilier,Ausbau,Küchen & Gastronomie,Einbauküchen,"Produkte-Nr. 3059

mit Backofen, Kochfeld, Geschirrspüler und Kühlschrank

ohne Armatur und Dampfabzug.",,520.0,60.0,220,,,white,,2023-06-30,,,,,500.0,2023-09-25 00:00:00.000,,0.0,,"Zürich, 8050",,useagain,92842,CH,de,3059-2_570x570.jpg,https://www.useagain.ch/de/kueche-92842,G05.02,kitchen,1300.0,,,"{'score': 1.4684341920201405e-07, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 3059'}","{'score': 2.566364491940476e-05, 'start': 74, 'end': 103, 'answer': '\nohne Armatur und Dampfabzug.'}","{'score': 0.0030078876297920942, 'start': 12, 'end': 17, 'answer': ' 3059'}",Pisé,Kitchen worktops,Pr_40_30_30_46,"Roof, Slabs, Stairs",Furnishings,"Floor plates, gratings and edgings"
3633,4883,4884,Küche,used & cleaned,['G05.02'],Fitted kitchens,Mobilier,Ausbau,Küchen & Gastronomie,Einbauküchen,"Hänggeli-Küche von 2002, gut erhalten und gut gepflegt. Alle Geräte intakt.

Muss am 7.6. demontiert werden. Entweder selber oder auf Rechnung.

Preis verhandelbar",,,,,,,,,,,,,,,2023-09-25 00:00:00.000,,0.0,,"Hilterfingen, 3652",,useagain,92624,CH,de,kche_hilterfingen_bild_570x570.png,https://www.useagain.ch/de/kueche-92624,G05.02,kitchen,300.0,,,"{'score': 2.6618650394993892e-08, 'start': 0, 'end': 14, 'answer': 'Hänggeli-Küche'}","{'score': 5.075736680737464e-06, 'start': 0, 'end': 24, 'answer': 'Hänggeli-Küche von 2002,'}","{'score': 3.4686763683566824e-06, 'start': 18, 'end': 24, 'answer': ' 2002,'}",Pisé,Kitchen worktops,Pr_40_30_30_46,"Roof, Slabs, Stairs",Furnishings,"Floor plates, gratings and edgings"
4234,5683,32,Küche,used,"['J01.01', 'J01.02']",Furniture,Mobilier,Ausbau,Küchen & Gastronomie,Küchenmöbel,"Die Küche wird aufgrund der Umbauarbeiten unserer Büroräumlichkeiten verkauft. 

-	Zwei-Frontenküche mit separater Insel
-	Zustand gut (Baujahr 2015)
-	Abdeckung aus Chromstahl
-	Fronten aus Kunstharz
-	Verkauf erfolgt ohne Industrie-Geschirrspüler und Kaffeemaschinen
-	2 Kühlschränke (8-jährig) können übernommen werden 
-	Verkaufspreis: CHF 6'000.00
-	Demontage durch Käufer und Abholung nach Vereinbarung (immo1234@bluewin.ch) 

Masse:
-	Insel: L 248cm / B 65cm
-	2-Fronten: L 320cm / B 60cm",,,,,,,white,,,,,,,,,,0.0,,"St. Gallen, 9001",,useagain,93413,CH,de,kche1_%287%29_570x570.jpg,https://www.useagain.ch/de/kueche-93413,J01,kitchen,6000.0,,,"{'score': 0.9181255102157593, 'start': 190, 'end': 200, 'answer': ' Kunstharz'}","{'score': 0.5521910190582275, 'start': 448, 'end': 465, 'answer': ' L 248cm / B 65cm'}","{'score': 0.002101142890751362, 'start': 448, 'end': 465, 'answer': ' L 248cm / B 65cm'}",Pisé,Kitchen worktops,Pr_40_30_30_46,"Roof, Slabs, Stairs",Furnishings,"Floor plates, gratings and edgings"
