,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
151,916,916,Geschirrspüler Sharp,"used, cleaned & tested",,,,Gebäudetechnik & Sanitär,Elektro & Leuchten,Elektrogerät,"Baujahr: keine Angaben
Energieeffizienz: A++
Garantie: 6 Monate Garantie
Hersteller:  Sharp
Montage: Freistehend
Spannung: 230V
Zustand: occasion/gebraucht

Artikelnr: 111774",,,,,,,,,2022-08-09,350.0,,,1970-01-01,350.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Münchenstein, 4142",,useagain,90297,CH,de,,https://www.useagain.ch/de/geschirrspueler-sharp-qw-hx13f472i-90297,,dishwasher,,,,"{'score': 9.36061860556947e-06, 'start': 8, 'end': 22, 'answer': ' keine Angaben'}","{'score': 0.02277892641723156, 'start': 104, 'end': 116, 'answer': ' Freistehend'}","{'score': 0.000525276584085077, 'start': 8, 'end': 22, 'answer': ' keine Angaben'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,Trim products
248,1029,1029,Geschirrspüler cm,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Electrolux
Modell: GA711.L3 SwissLine L
Baujahr: 2002
Ausführung: schwarz
Montageart: Einbau/CH-Norm
Sicherheit: ohne Aquastop!
Anschluss: 230V
Zustand: Gebrauchsspuren an Oberseite siehe Photo",,,,,,,,,2022-06-30,80.0,,,1970-01-01,80.0,1970-01-01 00:00:00.000,0.0,1.0,12.0,"Brügg, 2555",,useagain,82348,CH,de,,https://www.useagain.ch/de/geschirrspueler-55cm-82348,H03.05,dishwasher,,,,"{'score': 0.002090355847030878, 'start': 40, 'end': 88, 'answer': ' SwissLine L\r\nBaujahr: 2002\r\nAusführung: schwarz'}","{'score': 0.00042888696771115065, 'start': 31, 'end': 52, 'answer': ' GA711.L3 SwissLine L'}","{'score': 0.03707541897892952, 'start': 31, 'end': 52, 'answer': ' GA711.L3 SwissLine L'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
447,1258,1258,Geschirrspüler cm,cleaned & tested,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbaugeschirrspüler
Hersteller: Miele
Modell: G 2222-60i
Produktionsjahr: ca. 2009
Energieklasse: A
Farbe: weiss
Bauform: Einbau / EU-Norm
Dekorfront weiss, wechselbar
Mit Aquastop
Anschluss: 230V
Bedienungsanleitung nur als pdf vorhanden",,,,,,,,,2022-08-17,180.0,,,1970-01-01,180.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,90338,CH,de,,https://www.useagain.ch/de/geschirrspueler-60cm-90338,H03.05,dishwasher,,,,"{'score': 0.004349897615611553, 'start': 112, 'end': 118, 'answer': ' weiss'}","{'score': 2.9335717044887133e-05, 'start': 48, 'end': 59, 'answer': ' G 2222-60i'}","{'score': 2.9026750780758448e-05, 'start': 48, 'end': 59, 'answer': ' G 2222-60i'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
481,1297,1297,Geschirrspüler mit Verstellsockel,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Hersteller: Sibir
Modell: GS60N41029
Alter: 2015
Farbe: Weiss
Grösse: 78cm bis 86cm mit Verstellbarer Sockel
Bauform: Einbau, Euronorm
Anschluss: 230V
mit Bedienungsanleitung
Front: Mit weisser Dekorfront (wechselbar)",,,,,,,,,2022-07-06,300.0,,,1970-01-01,300.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,90134,CH,de,,https://www.useagain.ch/de/geschirrspueler-mit-verstellsockel-90134,H03.05,dishwasher,,,,"{'score': 0.9351198077201843, 'start': 58, 'end': 64, 'answer': ' Weiss'}","{'score': 0.627830982208252, 'start': 73, 'end': 87, 'answer': ' 78cm bis 86cm'}","{'score': 0.12887582182884216, 'start': 73, 'end': 87, 'answer': ' 78cm bis 86cm'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Other,Other,Sanitary fittings and accessories
979,1820,1820,Einlegespüle / Küchenspüle,mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Spülen,"Hersteller: Franke
Material: Chromstahl
Becken: rechts, ohne Überlauf
Besonderes:
- mit Hahnlochbohrung
- mit Ablauf aus Kunststoff
- hat Gebrauchsspuren",,,,,,,,,2022-11-15,100.0,,,1970-01-01,100.0,1970-01-01 00:00:00.000,0.0,1.0,112.0,"Brügg, 2555",,useagain,78404,CH,de,hintergrund-horizontal-neu_%284%29_570x570.png,https://www.useagain.ch/de/einlegespuele-kuechenspuele-78404,G05.02,kitchen,,,,"{'score': 0.972503125667572, 'start': 28, 'end': 39, 'answer': ' Chromstahl'}","{'score': 0.014795630238950253, 'start': 39, 'end': 69, 'answer': '\nBecken: rechts, ohne Überlauf'}","{'score': 9.960886018234305e-06, 'start': 55, 'end': 69, 'answer': ' ohne Überlauf'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
1028,1875,1875,Geschirrspüler cm,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbaugeschirrspüler
Hersteller: Miele
Modell: G 3152 i Special
Baujahr ca: 2010
Montageart: Einbau, bodenstehend
Frontseite: Dekor-/Möbelfront
Sicherheit: Aquastop
Anschluss: 230V
Besonderes: höhenverstellbarer Oberkorb, Kindersicherung
Zustand: Abnutzungen an der Bedienblende",,,,,,,,,2022-08-09,190.0,,,1970-01-01,190.0,1970-01-01 00:00:00.000,0.0,1.0,6.0,"Brügg, 2555",,useagain,83143,CH,de,,https://www.useagain.ch/de/geschirrspueler-55cm-83143,H03.05,dishwasher,,,,"{'score': 3.381282658665441e-05, 'start': 130, 'end': 148, 'answer': ' Dekor-/Möbelfront'}","{'score': 0.004880618304014206, 'start': 96, 'end': 117, 'answer': ' Einbau, bodenstehend'}","{'score': 1.3419274182524532e-05, 'start': 48, 'end': 65, 'answer': ' G 3152 i Special'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
1361,2212,2212,Geschirrspüler V-Zug Adora,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Produkte-Nr.: 2760
GS 55 NGi",,,,,,,,,2022-10-11,390.0,,,1970-01-01,390.0,1970-01-01 00:00:00.000,0.0,1.0,85.0,"Zürich, 8050",,useagain,90854,CH,de,2760_1_570x570.jpg,https://www.useagain.ch/de/geschirrspueler-v-zug-adora-90854,H03.05,dishwasher,,,,"{'score': 0.004981135483831167, 'start': 13, 'end': 28, 'answer': ' 2760\nGS 55 NGi'}","{'score': 0.17436088621616364, 'start': 13, 'end': 28, 'answer': ' 2760\nGS 55 NGi'}","{'score': 0.5737794637680054, 'start': 13, 'end': 28, 'answer': ' 2760\nGS 55 NGi'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,Fastener products
1581,2432,2432,Geschirrspüler cm,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbaugeschirrspüler
Hersteller: Service 7000 (V-Zug)
Modell: S7 GS 60N (GS 60Ni)
Erste Inbetriebnahme: 2016
Energieklasse: A++
Bauform: Einbau / EU-Norm mit Gleitblech, ohne Verstellsockel!
Türfront: integrierbar, mit Möbeltür, wechselbar
Anschluss: 230V
Bedienungsanleitung nur als pdf",,,,,,,,,2022-10-19,320.0,,,1970-01-01,320.0,1970-01-01 00:00:00.000,0.0,1.0,0.0,"Brügg, 2555",,useagain,91028,CH,de,1_%28256%29_570x570.jpg,https://www.useagain.ch/de/geschirrspueler-60cm-91028,H03.05,dishwasher,,,,"{'score': 0.07372470945119858, 'start': 71, 'end': 81, 'answer': ' (GS 60Ni)'}","{'score': 0.0005841351812705398, 'start': 61, 'end': 71, 'answer': ' S7 GS 60N'}","{'score': 0.0003007903869729489, 'start': 64, 'end': 71, 'answer': ' GS 60N'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
1979,2830,2830,Miele Geschirrspüler,mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Spülen,"Baujahr: 2010
Garantie: 6 Monate
Hersteller: Miele
Mängel: Gebrauchsspuren
Spannung: 230 V
Zustand: occasion/gebraucht

Artikelnr: 112410",,,,,,,,,2022-11-24,389.0,,,1970-01-01,389.0,1970-01-01 00:00:00.000,0.0,1.0,6.0,"Münchenstein, 4142",,useagain,91378,CH,de,112410_570x570.jpg,https://www.useagain.ch/de/miele-geschirrspueler-91378,G05.02,dishwasher,,,,"{'score': 1.612211804058461e-06, 'start': 99, 'end': 137, 'answer': ' occasion/gebraucht\n\nArtikelnr: 112410'}","{'score': 0.0005980420392006636, 'start': 84, 'end': 90, 'answer': ' 230 V'}","{'score': 5.077186870039441e-05, 'start': 99, 'end': 137, 'answer': ' occasion/gebraucht\n\nArtikelnr: 112410'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
2127,2983,2983,Geschirrspüler Miele cm,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbaugeschirrspüler
Hersteller: Miele
Modell: G 24915-60 i XXL
Energieklasse: A++
Produktionsjahr: ca. 2015
Farbe: weiss
Bauform: Einbau / Euro-Norm
verstellbare Unterfüsse (Höhe 84,5 + ca. 6 cm)
Anschluss: 230V
Bedienungsanleitung als pdf",,,,,,,,,2022-12-10,300.0,,,1970-01-01,300.0,1970-01-01 00:00:00.000,0.0,1.0,61.0,"Brügg, 2555",,useagain,91488,CH,de,1_%28301%29_570x570.jpg,https://www.useagain.ch/de/geschirrspueler-miele-60cm-91488,H03.05,dishwasher,,,,"{'score': 0.003557467134669423, 'start': 115, 'end': 121, 'answer': ' weiss'}","{'score': 0.27051347494125366, 'start': 173, 'end': 196, 'answer': ' (Höhe 84,5 + ca. 6 cm)'}","{'score': 0.47467783093452454, 'start': 59, 'end': 63, 'answer': ' XXL'}",Sitka spruce,Dish and utensil washers,Pr_40_70_21_22,Technical elements,Other,"Floor plates, gratings and edgings"
