,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
313,1102,1102,Komplettküche,used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Arbeitsplatte, Backofen, Kochfeld, Kühlschrank, Dampfgarer, ohne Geschirspüll zu verkaufen ab Oktober 2022.

Küche muss selber ausgebaut werden.",,,,,,,gray,,,6000.0,,,1970-01-01,6000.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Binningen, 4102",,useagain,90254,CH,de,20220313_101633_%281%29_570x570.jpg,https://www.useagain.ch/de/komplettkueche-90254,G05.02,kitchen,,,,"{'score': 5.230120586929843e-05, 'start': 64, 'end': 77, 'answer': ' Geschirspüll'}","{'score': 1.5330759197240695e-05, 'start': 59, 'end': 77, 'answer': ' ohne Geschirspüll'}","{'score': 2.055953700619284e-05, 'start': 59, 'end': 77, 'answer': ' ohne Geschirspüll'}",Encaustic,Desks,Pr_40_50_21_21,Furnishings,"Covering, Finish",Unit covering and finish products
549,1366,1366,"Einbauschränke , Zeilen",used & cleaned,"['J01.01', 'J02.01']",Building furnishings,,Ausbau,Möbel & Einrichtungen,Einrichtungen,"Eingebaute Einbauschränke mit Innenleben. Müssen vor Ort ausgebaut werden und abtransportiert werden. Zeile 1: 7x Elemente à B=60cm, H=260cm / Zeile 2: 9x Elemente à B=60cm, H=260cm (gem. Bild)",Wood,60.0,540.0,260,,,,,,2888.0,,,1970-01-01,2888.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"zürich, 8005",,useagain,83003,CH,de,img_7338_570x570.jpg,https://www.useagain.ch/de/einbauschraenke-2-zeilen-83003,J,,,,,"{'score': 3.384164665476419e-05, 'start': 0, 'end': 41, 'answer': 'Eingebaute Einbauschränke mit Innenleben.'}","{'score': 0.538859486579895, 'start': 110, 'end': 140, 'answer': ' 7x Elemente à B=60cm, H=260cm'}","{'score': 0.3884505331516266, 'start': 110, 'end': 140, 'answer': ' 7x Elemente à B=60cm, H=260cm'}",Encaustic,Desks,Pr_40_50_21_21,Furnishings,Furnishings,"Floor plates, gratings and edgings"
581,1398,1398,Trittplatten Stück,used & cleaned,"['I02.02', 'I02.03']",External structures,,Umgebung,Garten & Aussenbereich,Mauern,"Trittplatten mit den Massen 75x35x15cm schätze 60-80Kg schwer (?)
müssen abgeholt werden, müssen ca. 10m zu Fuss über eine kurze Treppe und eine schmale Brücke (ca 1.2m) getragen werden. Am besten wohl auf einer Tragbare oder mit Gurten.",Stone,15.0,35.0,75,15,,,,,0.0,,,1970-01-01,0.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,81116,CH,de,img_570x570.jpg,https://www.useagain.ch/de/trittplatten-30-stueck-81116,I02,,,,,"{'score': 0.8703995943069458, 'start': 0, 'end': 12, 'answer': 'Trittplatten'}","{'score': 0.5124920606613159, 'start': 27, 'end': 38, 'answer': ' 75x35x15cm'}","{'score': 0.021589035168290138, 'start': 27, 'end': 38, 'answer': ' 75x35x15cm'}",Granule,Desks,Pr_40_50_21_21,Structural elements,"Covering, Finish","Floor plates, gratings and edgings"
1290,2141,2141,Ablagefläche,"used, cleaned & tested",['Sonstiges'],,,Ausbau,Küchen & Gastronomie,Zubehör,"Hersteller: keine Angaben
Garantie: ohne Garantie
Mängel: Gebrauchsspuren
Zustand: occasion/gebraucht

Artikel Nr: 102944",Mixed,,,,,,mixed,,2022-10-18,40.0,,,1970-01-01,40.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,"Münchenstein, 4142",,useagain,90986,CH,de,102944_1_570x570.jpg,https://www.useagain.ch/de/ablageflaeche-90986,,,,,,"{'score': 0.002470197156071663, 'start': 25, 'end': 49, 'answer': '\nGarantie: ohne Garantie'}","{'score': 3.448473216849379e-05, 'start': 11, 'end': 25, 'answer': ' keine Angaben'}","{'score': 0.0756867304444313, 'start': 114, 'end': 121, 'answer': ' 102944'}",Gravel,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings"
1657,2508,2508,Schalter,"used, cleaned & tested",,,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Zubehör,"Hersteller: keine Angaben
Garantie: ohne Garantie
Mängel: Gebrauchsspuren
Zustand: occasion/gebraucht

Artikel Nr: 111278",,,,,,,,,2022-10-06,3.0,,,1970-01-01,3.0,1970-01-01 00:00:00.000,0.0,1.0,20.0,"Münchenstein, 4142",,useagain,90775,CH,de,111278_570x570.jpg,https://www.useagain.ch/de/schalter-ap-90775,,,,,,"{'score': 0.0024890219792723656, 'start': 25, 'end': 49, 'answer': '\nGarantie: ohne Garantie'}","{'score': 3.664042742457241e-05, 'start': 11, 'end': 25, 'answer': ' keine Angaben'}","{'score': 0.002121381228789687, 'start': 114, 'end': 121, 'answer': ' 111278'}",Encaustic,Desks,Pr_40_50_21_21,Technical elements,"Covering, Finish",Hardware products
2013,2866,2866,Spanplatten,"used, cleaned & tested","['E01.01', 'E01.02', 'E01.03', 'E02.01', 'E02.02', 'E02.03', 'E02.04', 'E02.05', 'F01.01', 'J03.01', 'J03.02', 'Sonstiges']",External wall cladding above ground,,Baustoffe & Werkzeuge,Baustoffe & Werkzeuge,Baustoffe,"Hersteller: keine Angaben
Garantie: ohne Garantie
Masse: H: 1,6cm B: 64cm T: 168cm
Mängel: Gebrauchsspuren
Material: Holz
Zustand: occasion/gebraucht

Artikelnr:  112417",Wood,168.0,64.0,"1,6",,,,,2022-11-28,6.0,,,1970-01-01,6.0,1970-01-01 00:00:00.000,0.0,1.0,161.0,"Münchenstein, 4142",,useagain,91393,CH,de,112417_570x570.jpg,https://www.useagain.ch/de/spanplatten-91393,E02,,,,,"{'score': 0.9846265316009521, 'start': 116, 'end': 121, 'answer': ' Holz'}","{'score': 0.7174534201622009, 'start': 56, 'end': 82, 'answer': ' H: 1,6cm B: 64cm T: 168cm'}","{'score': 0.074383445084095, 'start': 56, 'end': 82, 'answer': ' H: 1,6cm B: 64cm T: 168cm'}",Granule,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
2320,3248,3248,Tableau feutre,used,"['G05.01', 'J01.01', 'J01.02']",Furniture,Mobilier,Ausbau,Möbel & Einrichtungen,Möbel,"Debudé
Palier de l escalier
13 planches de largeur variable (11,5-13,5)",Steel,0.0,121.0,91,,,,,,25.0,0.0,1.0,1970-01-01,25.0,1970-01-01 00:00:00.000,,1.0,72.0,,MAD,materiuum,2209-5021,CH,fr,"['https://materiuum.ch/wp-content/uploads/2022/11/2209-5021-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-5021-b.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-5021-c.jpg']",https://materiuum.ch/produit/379470/,J01,notice board,,,,"{'score': 0.24879734218120575, 'start': 27, 'end': 39, 'answer': '\n13 planches'}","{'score': 0.27850183844566345, 'start': 27, 'end': 71, 'answer': '\n13 planches de largeur variable (11,5-13,5)'}","{'score': 0.14719735085964203, 'start': 27, 'end': 71, 'answer': '\n13 planches de largeur variable (11,5-13,5)'}",Pisé,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2436,3618,3618,Wandtafel,"used, cleaned & tested","['J02.03', 'Sonstiges']",Movable equipment,,Ausbau,Möbel & Einrichtungen,Zubehör,Produkte-Nr. 2853,,2.0,148.0,120,,,,,2023-01-20,80.0,,,1970-01-01,80.0,1970-01-01 00:00:00.000,0.0,1.0,90.0,"Zürich, 8050",,useagain,91673,CH,de,2853-2_570x570.jpg,https://www.useagain.ch/de/wandtafel-91673,J02.03,,,,,"{'score': 0.04672356694936752, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2853'}","{'score': 0.0002752553264144808, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2853'}","{'score': 0.5585955381393433, 'start': 12, 'end': 17, 'answer': ' 2853'}",Encaustic,Desks,Pr_40_50_21_21,Furnishings,Furnishings,Furnishings
2649,3833,3833,kurzer Pult Schubladenkorpus,used,"['G05.01', 'J01.01', 'J01.02']",Furniture,,Ausbau,Möbel & Einrichtungen,Möbel,"sehr gut erhaltener Schubladenkorpus für Pult Schreibtisch oder ?, je mit 1 Schlüssel , Eiche fourniert , aus Büro; 
B: 42cm; H: 60cm; T: 60cm
 intern: NR 304.; ID: 19004; HP: 92050",Wood,60.0,42.0,60,,,,,2023-02-24,125.0,,,1970-01-01,125.0,2023-09-25 00:00:00.000,0.0,1.0,58.0,,,useagain,92050,CH,de,20230213_092454_570x570.jpg,https://www.useagain.ch/de/kurzer-pult-schubladenkorpus-92050,J01,,,,,"{'score': 0.7661004066467285, 'start': 87, 'end': 93, 'answer': ' Eiche'}","{'score': 0.3789684772491455, 'start': 116, 'end': 142, 'answer': '\nB: 42cm; H: 60cm; T: 60cm'}","{'score': 0.0012942381436005235, 'start': 66, 'end': 85, 'answer': ' je mit 1 Schlüssel'}",Sitka spruce,Desks,Pr_40_50_21_21,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards"
2652,3836,3836,Div . Betätigungsplatten,"used, cleaned & tested",['Sonstiges'],,,Gebäudetechnik & Sanitär,Sanitär,Zubehör,"Masse: diverse grosse
Material: Kunststoff
Farbe: weiss
Garantie: ohne Garantie
Mängel: ohne Mängel
Zustand: occasion/gebraucht

Artikel Nr: 109085",Plastic,,,,,,white,,2023-03-01,20.0,,,1970-01-01,10.0,2023-09-25 00:00:00.000,-10.0,1.0,58.0,"Münchenstein, 4142",,useagain,92102,CH,de,109085_570x570.jpg,https://www.useagain.ch/de/div.-wc-betaetigungsplatten-92102,,WC,,,,"{'score': 0.9969756603240967, 'start': 31, 'end': 42, 'answer': ' Kunststoff'}","{'score': 0.8303560614585876, 'start': 6, 'end': 21, 'answer': ' diverse grosse'}","{'score': 0.618949830532074, 'start': 6, 'end': 21, 'answer': ' diverse grosse'}",Daub,Desks,Pr_40_50_21_21,Technical elements,"Stairs, Ramps, Lift, Hardware",Treads and landing units
