,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
373,1173,1173,- % Glaskeramik Siemns,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Glasoberfläche diverse Kratzer,Glass-ceramics,,,,,,,,2022-08-09,50.0,,,1970-01-01,50.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Zürich, 8050",,useagain,81173,CH,de,,https://www.useagain.ch/de/sale-50-glaskeramik-siemns-81173,H03.05,glass ceramic hob,,,,"{'score': 0.29936572909355164, 'start': 0, 'end': 14, 'answer': 'Glasoberfläche'}","{'score': 0.00015147464000619948, 'start': 0, 'end': 14, 'answer': 'Glasoberfläche'}","{'score': 7.133206963771954e-05, 'start': 0, 'end': 14, 'answer': 'Glasoberfläche'}",Patterned glass,Glassware,Pr_40_70_23_36,Structural elements,Other,Glass blocks and panels
476,1292,1292,Einbauherd+Glaskeramikkochfeld cm,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbauherd:

Hersteller: V-Zug
Modell: ELS4
1.Inbetriebnahme: 2012
Energieklasse: A
Montageart: Einbau/CH-Norm
versenkbare-Drehschalter 2x Backofen 4x Kochzonen
Betriebsarten: Ober-/Unterhitze, Grill, Beleuchtung
Geräteschublade mit 1x Backblech, 1x Gitterrost
Anschluss: 400V

Glaskeramikkochfeld:

Hersteller: V-Zug
Modell: GK43 Quicklight
Baujahr: 2012
Chromstahlumrandung
Anschluss: 400V
Zustand: mehrere Abnutzungen an den Kochzonen!

Rahmenmass: B 58.5cm x H 4cm x T 51.5cm
Einbaumass: B 55cm x T 48.5cm

Beide Geräte müssen durch einen Fachmann installiert werden!",Glass-ceramics,,,,,,,,,330.0,,,1970-01-01,330.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,82905,CH,de,,https://www.useagain.ch/de/einbauherd-glaskeramikkochfeld-55cm-82905,H03.05,glass ceramic hob,,,,"{'score': 0.06250769644975662, 'start': 371, 'end': 392, 'answer': '\r\nChromstahlumrandung'}","{'score': 0.020426375791430473, 'start': 513, 'end': 531, 'answer': ' B 55cm x T 48.5cm'}","{'score': 1.2536667782114819e-05, 'start': 142, 'end': 167, 'answer': ' 2x Backofen 4x Kochzonen'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
664,1488,1488,Glasscheibe,used & cleaned,['Sonstiges'],,,Gebäudehülle & Konstruktion,Fenster,Zubehör,"Hersteller: Giesbrecht glas
Verglasung: 2-Fach",Glass,,115.0,"77,9",,,,,2022-05-24,80.0,,,1970-01-01,80.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,90003,CH,de,20220524_084209_570x570.jpg,https://www.useagain.ch/de/glasscheibe-90003,,,,,,"{'score': 0.4974091947078705, 'start': 11, 'end': 27, 'answer': ' Giesbrecht glas'}","{'score': 0.03719203546643257, 'start': 39, 'end': 46, 'answer': ' 2-Fach'}","{'score': 0.3279908001422882, 'start': 39, 'end': 46, 'answer': ' 2-Fach'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
803,1634,1634,Glaskeramik,used,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"gebraucht, Gerät funktioniert einwandfrei, muss selbstständig ausgebaut werden (zwischen 23.-26. Juni 2022)",Glass-ceramics,,69.0,50,,,,,2022-06-12,50.0,,,1970-01-01,50.0,1970-01-01 00:00:00.000,0.0,1.0,265.0,"Binningen, 4102",,useagain,90029,CH,de,20220605_124322_570x570.jpg,https://www.useagain.ch/de/glaskeramik-90029,H03.05,glass ceramic hob,,,,"{'score': 2.31737658396014e-06, 'start': 0, 'end': 10, 'answer': 'gebraucht,'}","{'score': 1.2654144256885047e-06, 'start': 0, 'end': 10, 'answer': 'gebraucht,'}","{'score': 0.00810975767672062, 'start': 0, 'end': 10, 'answer': 'gebraucht,'}",Patterned glass,Glassware,Pr_40_70_23_36,Technical elements,Other,Glass blocks and panels
810,1641,1641,Einbau-Elektroherd mit Glaskeramik-Kochffeld,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Marke: Elektrolux (therma)
Backofen ist sauber.",Glass-ceramics,,55.0,78,,,black,C,,0.0,,,1970-01-01,0.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Diesbach, 8777",,useagain,90277,CH,de,,https://www.useagain.ch/de/einbau-elektroherd-mit-glaskeramik-kochffeld-90277,H03.05,stove,,,,"{'score': 0.00824357196688652, 'start': 6, 'end': 47, 'answer': ' Elektrolux (therma)\nBackofen ist sauber.'}","{'score': 0.00023129054170567542, 'start': 6, 'end': 26, 'answer': ' Elektrolux (therma)'}","{'score': 0.00019308475020807236, 'start': 6, 'end': 26, 'answer': ' Elektrolux (therma)'}",Wired glass,Glassware,Pr_40_70_23_36,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels
916,1749,1749,Glaskeramik mit,used & cleaned,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"gut erhaltener Glaskeramik mit TIP Tronic von V ZUG wurde 2009 eingebaut Rahmenausschnittmasse: B: 54cm, T: 47,5cm",Glass-ceramics,52.0,58.0,,,,,,,395.0,,,1970-01-01,395.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,81553,CH,de,img_3042_570x570.jpg,https://www.useagain.ch/de/v-zug-glaskeramik-mit-tiptronic-jg-2009-81553,H03.05,glass ceramic hob,,,,"{'score': 0.056518130004405975, 'start': 14, 'end': 26, 'answer': ' Glaskeramik'}","{'score': 0.03316650539636612, 'start': 95, 'end': 114, 'answer': ' B: 54cm, T: 47,5cm'}","{'score': 7.686820708840969e-07, 'start': 98, 'end': 104, 'answer': ' 54cm,'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
944,1777,1777,Glaskeramikkochfeld Miele,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Typ: KM216 EDST/CH
Ohne Steuerung (Ein Schaltkasten ist nicht im Verkauf enthalten).",Glass-ceramics,57.0,50.0,"4,5",,,,,2022-06-08,200.0,,,1970-01-01,200.0,1970-01-01 00:00:00.000,0.0,1.0,265.0,"Zug, 6300",,useagain,78335,CH,de,sam_8879_570x570.jpg,https://www.useagain.ch/de/glaskeramikkochfeld-miele-78335,H03.05,glass ceramic hob,,,,"{'score': 2.045686642304645e-08, 'start': 4, 'end': 18, 'answer': ' KM216 EDST/CH'}","{'score': 2.5725455998326652e-05, 'start': 4, 'end': 18, 'answer': ' KM216 EDST/CH'}","{'score': 0.0001326916681136936, 'start': 4, 'end': 18, 'answer': ' KM216 EDST/CH'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels",Other,Glass blocks and panels
946,1779,1779,Glaskeramikkochfeld Miele,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Ohne Steuerung (Ein Schaltkasten ist nicht im Verkauf enthalten).,Glass-ceramics,60.0,60.0,"4,5",,,,,2022-07-15,200.0,,,1970-01-01,200.0,1970-01-01 00:00:00.000,0.0,1.0,265.0,"Zug, 6300",,useagain,78339,CH,de,sam_5345_570x570.jpg,https://www.useagain.ch/de/glaskeramikkochfeld-miele-78339,H03.05,glass ceramic hob,,,,"{'score': 1.892843748407813e-08, 'start': 14, 'end': 65, 'answer': ' (Ein Schaltkasten ist nicht im Verkauf enthalten).'}","{'score': 3.0633691494585946e-07, 'start': 0, 'end': 14, 'answer': 'Ohne Steuerung'}","{'score': 3.3428343158448115e-05, 'start': 14, 'end': 32, 'answer': ' (Ein Schaltkasten'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels",Other,Glass blocks and panels
975,1813,1813,Glaskeramik Bauknecht,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2633,Glass-ceramics,57.0,50.0,4,,,,,2023-02-03,60.0,,,1970-01-01,60.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Zürich, 8050",,useagain,82931,CH,de,2633_570x570.jpg,https://www.useagain.ch/de/glaskeramik-bauknecht-82931,H03.05,glass ceramic hob,,,,"{'score': 0.0018992963014170527, 'start': 12, 'end': 17, 'answer': ' 2633'}","{'score': 0.00014083212590776384, 'start': 12, 'end': 17, 'answer': ' 2633'}","{'score': 0.4434696435928345, 'start': 12, 'end': 17, 'answer': ' 2633'}",Patterned glass,Glassware,Pr_40_70_23_36,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels
976,1815,1815,Glaskeramik,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Produkte-Nr. 2567

Einbaumass: 73.5 / 47.5 cm",Glass-ceramics,50.0,75.0,2,,,,,2023-01-13,80.0,,,1970-01-01,80.0,1970-01-01 00:00:00.002,0.0,1.0,265.0,"Zürich, 8050",,useagain,82930,CH,de,2567_570x570.jpg,https://www.useagain.ch/de/glaskeramik-v-zug-82930,H03.05,glass ceramic hob,,,,"{'score': 0.00010598853987175971, 'start': 18, 'end': 30, 'answer': '\nEinbaumass:'}","{'score': 0.778439998626709, 'start': 30, 'end': 45, 'answer': ' 73.5 / 47.5 cm'}","{'score': 0.15613791346549988, 'start': 30, 'end': 45, 'answer': ' 73.5 / 47.5 cm'}",Patterned glass,Glassware,Pr_40_70_23_36,Technical elements,Other,Glass blocks and panels
992,1834,1834,Glaskeramik,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2632,Glass-ceramics,52.0,58.0,3,,,,,2023-01-13,80.0,,,1970-01-01,80.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Zürich, 8050",,useagain,82975,CH,de,2632_1_570x570.jpg,https://www.useagain.ch/de/glaskeramik-v-zug-82975,H03.05,glass ceramic hob,,,,"{'score': 0.0020027048885822296, 'start': 12, 'end': 17, 'answer': ' 2632'}","{'score': 0.00016074551967903972, 'start': 12, 'end': 17, 'answer': ' 2632'}","{'score': 0.46252819895744324, 'start': 12, 'end': 17, 'answer': ' 2632'}",Patterned glass,Glassware,Pr_40_70_23_36,Technical elements,Other,Glass blocks and panels
1000,1842,1842,Glaskeramik,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,Produkte-Nr. 2598,Glass-ceramics,29.0,52.0,"4,5",,,,,2023-01-13,50.0,,,1970-01-01,50.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Zürich, 8050",,useagain,82988,CH,de,2598_570x570.jpg,https://www.useagain.ch/de/glaskeramik-v-zug-82988,H03.05,glass ceramic hob,,,,"{'score': 0.05628829821944237, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2598'}","{'score': 0.0003786221786867827, 'start': 0, 'end': 17, 'answer': 'Produkte-Nr. 2598'}","{'score': 0.5584046840667725, 'start': 12, 'end': 17, 'answer': ' 2598'}",Patterned glass,Glassware,Pr_40_70_23_36,Technical elements,Other,Glass blocks and panels
1056,1903,1903,Glaskeramik-Kochfeld mit Touchscreen und Heiz-Zonen,"used, cleaned & tested",['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Felder aus Glaskeramik
Edelstahlrahmen
Hersteller : Miele
Modell: KM 5673
Jahr der Herstellung: 2009
Anzahl der Kochzonen: 5
Fester Anschluss: 400 V Muss von einem Fachmann installiert werden!
Mit Kabel ohne Stecker
Enthält leichte Abnutzungsspuren
Bedienungsanleitung nur als pdf",Glass-ceramics,,,,,,,,2022-08-22,370.0,,,1970-01-01,370.0,1970-01-01 00:00:00.000,0.0,1.0,171.0,"Brügg, 2555",,useagain,90377,CH,de,_dsc8911_570x570.jpg,https://www.useagain.ch/de/glaskeramik-kochfeld-mit-touchscreen-und-5-heiz-zonen-90377,H03.05,hob,,,,"{'score': 0.12459012120962143, 'start': 10, 'end': 22, 'answer': ' Glaskeramik'}","{'score': 4.432196146808565e-05, 'start': 0, 'end': 38, 'answer': 'Felder aus Glaskeramik\nEdelstahlrahmen'}","{'score': 0.00042328290874138474, 'start': 122, 'end': 124, 'answer': ' 5'}",Wired glass,Glassware,Pr_40_70_23_36,Technical elements,Other,Glass blocks and panels
