,Unnamed: 0.1,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n,material_emb,Swiss_Raw,Swiss_Code,first_level,second_level,third_level
378,1181,1181,Komplette Küche U-Form mit Miele Geräten,mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Äussere Farbe: Weiss
Innere Farbe: Hellgrau
Arbeitsplatte aus Edelstahl.

Miele Glaskeramik Kochfeld
Miele Backofen
Miele Geschirrspülmaschine
Miele Kühlschrank 
Miele Dampfabzug 

(ein Holzbrett ist gerissen Sehe Bild)

Alle angegebenen Masse sind ca. Masse. Gerne können Sie die Artikel persönlich vor Ort in unserem Laden besichtigen.",,,,,,,,,2022-06-07,4000.0,,,1970-01-01,4000.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Zug, 6300",,useagain,82391,CH,de,,https://www.useagain.ch/de/komplette-kueche-u-form-mit-miele-geraeten-82391,G05.02,kitchen,,,,"{'score': 0.22105245292186737, 'start': 63, 'end': 74, 'answer': ' Edelstahl.'}","{'score': 0.05572863668203354, 'start': 260, 'end': 271, 'answer': ' ca. Masse.'}","{'score': 0.06275465339422226, 'start': 260, 'end': 271, 'answer': ' ca. Masse.'}",Porcelain,Domestic cooking equipment,Pr_40_70_24,Technical elements,Other,"Floor plates, gratings and edgings"
429,1238,1238,Neuwertige Küche,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Die Küche wurde vor einem Jahr in einem Büro eingebaut. Da sie kaum gebraucht wurde, ist sie in neuwertigem Zustand. Infolge Nutzerwechsel ist die Küche jetzt zu verkaufen. Alle Elektroapparate und Korpusse sind kaum gebraucht und in einem sehr guten Zustand.Die Küche kann besichtigt werden. Zur Selbstabholung. Mehr Infos unter 078 621 29 48.
_Geschirrspüler 60 cm
_Kühlschrank 60 cm
_Backhofen 60 cm
_Steamer 60 cm
_Herdplatte Glaskeramik Siemens 80 cm
_Diverse Korpusse
_Arbeitsplatte Inox Top 240",,,,,,,,,2022-05-24,2500.0,,,1970-01-01,2500.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Basel, 4057",,useagain,82893,CH,de,,https://www.useagain.ch/de/neuwertige-kueche-82893,H03.05,kitchen,,,,"{'score': 0.07434321939945221, 'start': 434, 'end': 446, 'answer': ' Glaskeramik'}","{'score': 0.17795881628990173, 'start': 361, 'end': 367, 'answer': ' 60 cm'}","{'score': 0.0008947057067416608, 'start': 504, 'end': 508, 'answer': ' 240'}",Granule,Domestic cooking equipment,Pr_40_70_24,Technical elements,Other,"Floor plates, gratings and edgings"
471,1283,1283,Küche mit Kochinsel,mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"V-ZUG Geräten
Geschirrspüler GS60SL-Gi-c
Kühlschrank NOBLESSE i
Glaskeramik Kochfeld GK43TIVF
Ohne Backofen
Alle angegebenen Masse sind ca. Masse. Gerne können Sie die Artikel persönlich vor Ort in unserem Laden besichtigen.",,,,,,,,,2022-06-21,2500.0,,,1970-01-01,2500.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Zug, 6300",,useagain,83142,CH,de,,https://www.useagain.ch/de/kueche-mit-kochinsel-83142,G05.02,kitchen,,,,"{'score': 0.09501086175441742, 'start': 65, 'end': 78, 'answer': '\r\nGlaskeramik'}","{'score': 0.309810608625412, 'start': 140, 'end': 151, 'answer': ' ca. Masse.'}","{'score': 0.259793221950531, 'start': 140, 'end': 151, 'answer': ' ca. Masse.'}",Sitka spruce,Domestic cooking equipment,Pr_40_70_24,Other,Other,"Floor plates, gratings and edgings"
493,1310,1310,Einbauherd mit Kochmulde,cleaned & tested,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbauherd mit Chromstahl Kochmulde
Hersteller: Electrolux
Modell: EHK 1-4WE
Produktionsjahr: 2011
Farbe: weiss
Bauform: Einbau / CH-Norm
Backofenfunktionen: Nur Ober- und Unterhitze, Grill
1 x Backblech, 1 x Gitterrost
Stromanschluss: 400V (Muss durch einen Fachmann angeschlossen werden)

Kochmulde / Kochplatten
Material: Chromstahl
4 Kochzonen
Aussenmass: B 54,4 cm / T 51 cm",,,,,,,,,2022-06-15,280.0,,,1970-01-01,280.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Brügg, 2555",,useagain,90062,CH,de,,https://www.useagain.ch/de/einbauherd-mit-kochmulde-90062,H03.05,stove,,,,"{'score': 0.9453755617141724, 'start': 335, 'end': 346, 'answer': ' Chromstahl'}","{'score': 0.5280458331108093, 'start': 372, 'end': 392, 'answer': ' B 54,4 cm / T 51 cm'}","{'score': 0.2157527506351471, 'start': 195, 'end': 226, 'answer': '\r\n1 x Backblech, 1 x Gitterrost'}",Granule,Domestic cooking equipment,Pr_40_70_24,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
1040,1887,1887,Küche mit VZug Geräten Induktion & Steamer,,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Top Küche, einwandfreier Zustand. 

Mehr Material (video) auf Anfrage. 

Kann bis Mitte September besichtigt werden.

Gerät VZug

Induktion &amp; Steamer",,,,,,,white,,2022-08-23,7500.0,,,1970-01-01,7500.0,1970-01-01 00:00:00.000,0.0,1.0,5.0,"Worb, 3076",,useagain,90383,CH,de,,https://www.useagain.ch/de/leicht-kueche-mit-vzug-geraeten-induktion-steamer-90383,G05.02,kitchen,,,,"{'score': 0.0001344243937637657, 'start': 36, 'end': 51, 'answer': '\r\nMehr Material'}","{'score': 2.7418577701610047e-06, 'start': 122, 'end': 161, 'answer': '\r\nGerät VZug\r\n\r\nInduktion &amp; Steamer'}","{'score': 0.0001898056361824274, 'start': 36, 'end': 51, 'answer': '\r\nMehr Material'}",Air-cooled steel slag,Domestic cooking equipment,Pr_40_70_24,Technical elements,Other,Space heating and cooling products
1409,2260,2260,Küche zweiteilig / Einbauküche mit Kochinsel,mixed,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Einbauküche mit Kochinsel
Abdeckung: Vollholz, grün
Fronten: Vollholz, weiss

Geräte:
Kühlschrank: Miele, K 850i, Baujahr 2002
Geschirrspüler: Miele, G 884 SCI, 2001
Backofen: Siemens, mit Ober- Unterhitze, Heissluft, etc.
Glaskeramikkochfeld: Siemens mit Touch-Funktion
Mikrowelle: Miele 8161-2, Baujahr 2009

Masse Kochinsel: Länge 236 cm / Höhe 96 cm (Höhe mit Baraufsatz 116 cm) / Tiefe 79 cm (Tiefe mit Baraufsatz 107 cm)",,,,,,,,,2022-08-23,2700.0,,,1970-01-01,2700.0,1970-01-01 00:00:00.000,0.0,1.0,70.0,"Brügg, 2555",,useagain,90380,CH,de,_dsc8941_570x570.jpg,https://www.useagain.ch/de/kueche-zweiteilig-einbaukueche-mit-kochinsel-90380,G05.02,kitchen,,,,"{'score': 0.5209872126579285, 'start': 36, 'end': 46, 'answer': ' Vollholz,'}","{'score': 0.3002162575721741, 'start': 327, 'end': 340, 'answer': ' Länge 236 cm'}","{'score': 0.06392159312963486, 'start': 333, 'end': 340, 'answer': ' 236 cm'}",Sitka spruce,Domestic cooking equipment,Pr_40_70_24,"Roof, Slabs, Stairs",Other,"Floor plates, gratings and edgings"
1766,2617,2617,Küchenauszugmischer,used & cleaned,['D08.05'],"Water: control fittings, appliances",,Gebäudetechnik & Sanitär,Sanitär,Armaturen,"rel gut erhaltener KWC Spültischnmischer mit Auszugbrause, noch mit Kupferleitungen; Mod:  nuovo domo ( NP 450.--)",Metal,,,,,,,,,150.0,,,1970-01-01,150.0,2023-09-25 00:00:00.000,0.0,1.0,173.0,,,useagain,78974,CH,de,20200618_180022_570x570.jpg,https://www.useagain.ch/de/kwc-kuechenauszugmischer-78974,D08.05,kitchen,,,,"{'score': 0.20305278897285461, 'start': 67, 'end': 84, 'answer': ' Kupferleitungen;'}","{'score': 1.5235544196912088e-05, 'start': 22, 'end': 84, 'answer': ' Spültischnmischer mit Auszugbrause, noch mit Kupferleitungen;'}","{'score': 0.003843696089461446, 'start': 106, 'end': 114, 'answer': ' 450.--)'}",Lignite,Domestic cooking equipment,Pr_40_70_24,"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings"
1991,2842,2842,Granitabdeckung für Küche,used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Spülen,"recht gut erhaltene Granitabdeckung für Küche (ohne Armatur), hat Loch für Anschluss Keffeemaschine L:Â  ca 270cm ;Â Â  T: ca 50cm


intern: Nr 2600 ; ID: HP:",,,,3,,,black,,2022-11-23,425.0,,,1970-01-01,425.0,2023-09-25 00:00:00.000,0.0,1.0,165.0,,,useagain,91376,CH,de,20220131_100958_570x570.jpg,https://www.useagain.ch/de/granitabdeckung-fuer-kueche-91376,G05.02,kitchen,,,,"{'score': 0.7348076105117798, 'start': 19, 'end': 35, 'answer': ' Granitabdeckung'}","{'score': 0.12562677264213562, 'start': 99, 'end': 113, 'answer': ' L:Â\xa0 ca 270cm'}","{'score': 0.004558058455586433, 'start': 99, 'end': 113, 'answer': ' L:Â\xa0 ca 270cm'}",Granule,Domestic cooking equipment,Pr_40_70_24,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings"
1999,2850,2850,"Küche : kompekt , wenig gebraucht , guter Zustand",used & cleaned,['G05.02'],Fitted kitchens,,Ausbau,Küchen & Gastronomie,Einbauküchen,"Infolge Renovation: gratis abzugeben Kleinküche aus Ferienwohnung.
wenig gebracuht, guter Zustand, funktionsfähig.
ink. 3-er Kochherd, Backofen, 60l Kührschrank.
muss bis 8. Jan. 2023 in 6999 Astano (TI) selbst ausgebaut und abgeholt werden.",,212.0,60.0,203,,,,,,0.0,,,1970-01-01,0.0,1970-01-01 00:00:00.000,0.0,1.0,171.0,"Astano (TI), 6999",,useagain,91354,CH,de,img_20221008_093931_7_570x570.jpg,https://www.useagain.ch/de/kueche-kompekt-wenig-gebraucht-guter-zustand-91354,G05.02,kitchen,,,,"{'score': 0.035455718636512756, 'start': 66, 'end': 83, 'answer': '\nwenig gebracuht,'}","{'score': 0.0002237692242488265, 'start': 119, 'end': 161, 'answer': ' 3-er Kochherd, Backofen, 60l Kührschrank.'}","{'score': 0.054204061627388, 'start': 144, 'end': 148, 'answer': ' 60l'}",Sitka spruce,Domestic cooking equipment,Pr_40_70_24,Furnishings,Furnishings,"Floor plates, gratings and edgings"
2161,3017,3017,Küche Einzeilig,mixed,['H03.05'],"Catering kitchens: control fittings, appliances",,Ausbau,Küchen & Gastronomie,Apparate & Geräte,"Einbauküche
Farbe: grau
Spezielles:
Provisorischer Sockel, muss neu gemacht werden
Füsse hinten beim Kühlschrank nicht verstellbar, fehlender Verstellmechanismus.
Links und rechts beim Unter- und Oberbau fehlen die Abschlussblenden.
Abdeckplatte rechts vorne mit Ausschnitt wegen früherer Steigleitungen.
Verbaute Geräte:
Geschirrspüler / Bauknecht / GCX 5929 / Jahrgang 2012
Kühlschrank / Siemens / KU15RA65 / Jahrgang 2012
Backofen / Bauknecht / ESN 8260 / Jahrgang 2012
Dampfabzug / Bauknecht / DDB 5790 / Jahrgang 2012",,,,,,,,,2022-11-23,1450.0,,,1970-01-01,1450.0,1970-01-01 00:00:00.000,0.0,1.0,43.0,"Brügg, 2555",,useagain,91366,CH,de,1_%28287%29_570x570.jpg,https://www.useagain.ch/de/kueche-einzeilig-91366,H03.05,kitchen,,,,"{'score': 0.006916860584169626, 'start': 18, 'end': 23, 'answer': ' grau'}","{'score': 2.8753952392435167e-06, 'start': 0, 'end': 11, 'answer': 'Einbauküche'}","{'score': 3.0688636343256803e-06, 'start': 419, 'end': 424, 'answer': ' 2012'}",Sitka spruce,Domestic cooking equipment,Pr_40_70_24,"Roof, Slabs, Stairs",Furnishings,"Floor plates, gratings and edgings"
