firstb_level,count
Electrical power and lighting functions,117
Wall and barrier elements,116
Other,94
"Signage, fittings, furnishings and equipment",85
"Roofs, floor and paving elements",43
Transport functions,18
Structural elements,16
Waste disposal functions,12
Piped supply functions,11
"Communications, security, safety and protection functions",5
Process engineering,4
"Heating, cooling and refrigeration functions",3
Ventilation and air conditioning functions,3
"Tunnel, vessel and tower elements",2
Vehicle functions,2
Flora and fauna elements,1
Stairs and ramps,1
