firstb_level,Latest_Price
Wall and barrier elements,19930.603
Other,16396.703400000002
"Signage, fittings, furnishings and equipment",12589.57
Electrical power and lighting functions,10754.402399999999
"Roofs, floor and paving elements",10237.2858
Transport functions,1196.335
Piped supply functions,1047.1299999999999
Structural elements,649.2402
Waste disposal functions,501.662
"Communications, security, safety and protection functions",477.3972
"Heating, cooling and refrigeration functions",447.86
Ventilation and air conditioning functions,222.46
Process engineering,203.105
Flora and fauna elements,63.699999999999996
Vehicle functions,56.839999999999996
Stairs and ramps,24.5
"Tunnel, vessel and tower elements",22.54
