,third_level
"Lighting columns, brackets and bollards",181
"Floor plates, gratings and edgings",138
Glass blocks and panels,112
Furnishings,82
Other,75
Sanitary fittings and accessories,36
Power and lighting outlet products,34
Walling units,21
Headwall and swale inlet products,17
Handrails,17
Space heating and cooling products,11
Shaft-lining products,10
"Non-rigid sheet, mat and strip covering and finish products",8
Structural roofing units,7
Wire structure and general products,6
Masonry walling units,5
Support and restraint products,4
Sectional products,3
Trim products,3
Safety cages,3
