,third_level
Openings and opening component products,410
Structure and general products,343
Furnishings,282
Power and lighting outlet products,256
Unit covering and finish products,164
Hardware products,163
Sanitary fittings and accessories,112
Services support and containment products,57
Trim products,54
Space heating and cooling products,27
Handrails,27
"Non-rigid sheet, mat and strip covering and finish products",22
"Floor plates, gratings and edgings",12
Masonry walling units,8
Formless structure and general products,8
Glass blocks and panels,7
Treads and landing units,6
Prefabricated buildings and structures,5
Air and fume distribution products,3
Fastener products,3
