third_level,Latest_Price
Unit covering and finish products,39096.0
Furnishings,15129.2
Openings and opening component products,14205.48
Power and lighting outlet products,12206.42
Structure and general products,7935.59
Hardware products,4438.0
Services support and containment products,1864.29
Trim products,1255.0
Space heating and cooling products,1189.0
Handrails,555.5
Sanitary fittings and accessories,476.6
Formless structure and general products,421.0
Glass blocks and panels,307.0
"Floor plates, gratings and edgings",242.0
"Non-rigid sheet, mat and strip covering and finish products",55.99
Fastener products,0.0
Prefabricated buildings and structures,0.0
Support and restraint products,0.0
Treads and landing units,0.0
Air and fume distribution products,0.0
