,Feature,Importance
25,location_PARIS-13E-ARRONDISSEMENT,0.2113402
14,location_LA MADELEINE,0.20102291
5,location_BRIANCON,0.1472781
42,material_state_damaged,0.1464549
70,BIM_class_D.50.20.02.6,0.096299686
30,location_PARIS-8E-ARRONDISSEMENT,0.041504297
1,co2,0.039962426
31,location_PARIS-9E-ARRONDISSEMENT,0.03644474
67,BIM_class_D.50.20.02.3,0.025107732
0,price_latest,0.025019357
41,material_state_correct,0.020143634
43,material_state_verygood,0.009422083
68,BIM_class_D.50.20.02.4,0.0
53,BIM_class_C.30.30.01.1c,0.0
74,material_type_reconditioned,0.0
44,BIM_class_B.30.10.06.3,0.0
45,BIM_class_C.10.10.01.1,0.0
46,BIM_class_C.10.10.02.1e,0.0
47,BIM_class_C.10.10.02.1f,0.0
48,BIM_class_C.10.10.02.9,0.0
49,BIM_class_C.10.20.01.2d,0.0
73,BIM_class_E.10.90.90.2,0.0
72,BIM_class_D.50.20.02.9,0.0
50,BIM_class_C.10.30.02.5,0.0
51,BIM_class_C.30.30.01.1a,0.0
52,BIM_class_C.30.30.01.1b,0.0
71,BIM_class_D.50.20.02.7,0.0
66,BIM_class_D.50.20.02.2,0.0
54,BIM_class_C.30.30.01.1g,0.0
55,BIM_class_C.30.30.01.1h,0.0
56,BIM_class_C.30.30.01.1i,0.0
57,BIM_class_C.30.30.01.1k,0.0
59,BIM_class_C.30.30.01.1n,0.0
60,BIM_class_C.30.30.01.2,0.0
61,BIM_class_C.30.30.05.2,0.0
62,BIM_class_D.50.10.06,0.0
63,BIM_class_D.50.20.02.1,0.0
69,BIM_class_D.50.20.02.5,0.0
64,BIM_class_D.50.20.02.12,0.0
65,BIM_class_D.50.20.02.15,0.0
58,BIM_class_C.30.30.01.1m,0.0
38,location_VILLENEUVE-SAINT-GEORGES,0.0
40,French_Raw_Pendant luminaires,0.0
10,location_CORBEIL-ESSONNES,0.0
17,location_LYON--6E--ARRONDISSEMENT,0.0
16,location_LYON--3E--ARRONDISSEMENT,0.0
15,location_LOIRE-SUR-RHONE,0.0
13,location_ISSY-LES-MOULINEAUX,0.0
12,location_EPERNAY,0.0
11,location_DRANCY,0.0
9,location_CLERMONT-FERRAND,0.0
39,location_VILLEURBANNE,0.0
8,location_CHEVILLY-LARUE,0.0
7,location_CHATILLON,0.0
6,location_CHAMPS-SUR-MARNE,0.0
4,location_BORDEAUX,0.0
3,location_AUBAGNE,0.0
2,location_ARGENTEUIL,0.0
18,location_MARSEILLE--2E--ARRONDISSEMENT,0.0
19,location_MARSEILLE-13E--ARRONDISSEMENT,0.0
20,location_MONTIGNY-LES-CORMEILLES,0.0
21,location_NANTES,0.0
22,location_ORLEANS,0.0
23,location_PARIS-10E-ARRONDISSEMENT,0.0
24,location_PARIS-12E-ARRONDISSEMENT,0.0
26,location_PARIS-14E-ARRONDISSEMENT,0.0
27,location_PARIS-15E-ARRONDISSEMENT,0.0
28,location_PARIS-16E-ARRONDISSEMENT,0.0
29,location_PARIS-1ER-ARRONDISSEMENT,0.0
32,location_PONTCHARRA,0.0
33,location_PUTEAUX,0.0
34,location_RENNES,0.0
35,location_RUNGIS,0.0
36,location_SAINT-ETIENNE,0.0
37,location_SAINT-OUEN,0.0
75,material_type_used,0.0
