firstb_level,LastPrice
Wall and barrier elements,414623.72250000003
Structural elements,70843.461
"Heating, cooling and refrigeration functions",40960.92
Other,36855.7475
"Roofs, floor and paving elements",29783.65
"Signage, fittings, furnishings and equipment",23296.9425
Electrical power and lighting functions,13324.4475
"Tunnel, vessel and tower elements",6893.64
"Communications, security, safety and protection functions",6736.925
Transport functions,6293.56
Ventilation and air conditioning functions,5546.06
Waste disposal functions,5428.8
Stairs and ramps,4045.86
Process engineering,3279.77
Piped supply functions,3239.5350000000003
Vehicle functions,1118.0
Flora and fauna elements,815.5550000000001
Earthworks and remediation,720.98
