third_level,count
Sanitary fittings and accessories,1244
"Lighting columns, brackets and bollards",867
Glass blocks and panels,719
Other,632
"Floor plates, gratings and edgings",432
Safety cages,317
Power and lighting outlet products,170
Space heating and cooling products,168
Trim products,136
Furnishings,122
Walling units,110
Support and restraint products,106
Treads and landing units,98
Masonry walling units,78
Handrails,68
Structural roofing units,62
Wire structure and general products,61
Unit covering and finish products,55
Shaft-lining products,53
Prefabricated buildings and structures,43
