third_level,LastPrice
Glass blocks and panels,885124.0
Sanitary fittings and accessories,795427.0
Other,562930.5
Furnishings,324269.0
Safety cages,251370.0
"Floor plates, gratings and edgings",217253.0
"Lighting columns, brackets and bollards",183230.0
Handrails,104466.0
Space heating and cooling products,97860.0
Structural roofing units,97004.0
Trim products,91935.0
Treads and landing units,88647.0
Walling units,60319.0
Masonry walling units,47144.0
Prefabricated buildings and structures,25437.0
Wire structure and general products,24340.0
Power and lighting outlet products,16140.0
Headwall and swale inlet products,10585.0
Unit covering and finish products,9075.0
"Non-rigid sheet, mat and strip covering and finish products",7995.0
Shaft-lining products,7182.0
Support and restraint products,5130.0
Openings and opening component products,4000.0
Sectional products,2555.0
Air and fume distribution products,2450.0
Hardware products,1440.0
Fastener products,670.0
Structural units,585.0
Structure and general products,410.0
Formless structure and general products,8.0
