,Feature,Importance
40,Subcategory_Fyldningsdøre uden karm,0.05153604
471,Danish_Raw_Uncontrolled door closers,0.036678888
142,material_emb_Granule,0.036309466
126,material_emb_European larch,0.03197452
172,material_emb_Metal,0.029153975
5,Category_Timber and Floors,0.027305178
52,Subcategory_Mursten,0.026121482
228,material_emb_Wood,0.024170456
39,Subcategory_Fyldningsdøre med karm,0.023604676
4,Category_Miscellaneous Used Items,0.01923119
109,material_emb_Coade stone,0.018946406
11,Subcategory_Brugt Tømmer,0.018665494
18,Subcategory_Bøgeparket,0.017939923
2,Category_Doors and  Windows,0.017587714
116,material_emb_Daub,0.017215077
69,Subcategory_Sprossevinduer,0.016407626
356,Danish_Raw_Joist seals,0.016299747
458,Danish_Raw_Timber bollards,0.016053718
516,Danish_Raw_diverting,0.015768351
154,material_emb_Insulating glass,0.015610659
222,material_emb_Wallaba,0.014564981
136,material_emb_French oak,0.014437458
149,material_emb_Heat-absorbing glass,0.014241584
125,material_emb_Encaustic,0.013718312
57,Subcategory_Plader & Hylder,0.013360352
186,material_emb_Pisé,0.0129546225
3,Category_Masonry Materials,0.0120700635
205,material_emb_Sitka spruce,0.011982354
166,material_emb_Mahogany,0.011865407
9,Subcategory_Borde & Stole,0.011648702
162,material_emb_Lignite,0.011294739
63,Subcategory_Sjove ting,0.010815401
72,Subcategory_Tegl,0.010732093
82,Subcategory_Yderdøre,0.01066904
1,LastPrice,0.010403643
6,Subcategory_Andre vinduer,0.010354926
12,Subcategory_Brugte Klinker,0.010184096
315,Danish_Raw_Frameless glass door leaves,0.009920161
7,Subcategory_BD30 / Brand og lyddøre,0.009138975
56,Subcategory_Paneler,0.009058027
0,Quantity,0.009034045
99,material_emb_Blister steel,0.00887365
61,Subcategory_Restpartier fra byggepladser,0.008822123
60,Subcategory_Restpartier fra Savværk,0.008454287
203,material_emb_Silt,0.008431135
375,Danish_Raw_Mesh panels,0.008163395
265,Danish_Raw_Chute automatic fire doors,0.008061973
562,Danish_Raw_tee,0.008051155
297,Danish_Raw_Double slips,0.0077174706
13,Subcategory_Brugte Låsekasser,0.007360998
41,Subcategory_Gitre & Rækværk m.m.,0.00731465
145,material_emb_Gravel,0.0070315218
484,Danish_Raw_Window hinges,0.0067783897
578,Danish_Raw_window,0.0067555686
38,Subcategory_Fyldningsdøre med glas uden karm,0.006578794
79,Subcategory_Vinduesrammer,0.006498481
192,material_emb_Prismatic glass,0.0060536526
338,Danish_Raw_Grommets,0.0059863864
432,Danish_Raw_Sprigs,0.0059697
150,material_emb_Heat-resisting glass,0.0058031953
201,material_emb_Sheet glass,0.005790541
14,Subcategory_Brugte Monteringsdele,0.005773167
461,Danish_Raw_Timber sections,0.005746409
17,Subcategory_Brugte Vægfliser,0.0055184835
489,Danish_Raw_Wood brise-soleil units,0.0054370016
31,Subcategory_Enkeltlagsglas,0.0053773317
558,Danish_Raw_staple,0.0051757134
455,Danish_Raw_Thermostatic control glazed roof ventilators,0.005066932
91,material_emb_Architectural glass,0.0049721356
571,Danish_Raw_turnstile,0.004933867
517,Danish_Raw_door,0.0045733466
184,material_emb_Patterned glass,0.0045647323
46,Subcategory_Indvendige døre,0.0044773105
42,Subcategory_Granit,0.0044360273
49,Subcategory_Kort & Skilte,0.00438845
416,Danish_Raw_Sectional overhead doorsets,0.004348022
