firstb_level,price_latest
Wall and barrier elements,7212.6334
"Heating, cooling and refrigeration functions",6380.78
"Roofs, floor and paving elements",3757.5258
Other,3086.02
Piped supply functions,2940.98
Electrical power and lighting functions,2387.4172
Stairs and ramps,2283.4
"Signage, fittings, furnishings and equipment",2204.2454
"Communications, security, safety and protection functions",1665.51
Waste disposal functions,1194.62
Transport functions,750.68
Structural elements,617.0373999999999
"Tunnel, vessel and tower elements",485.09999999999997
Ventilation and air conditioning functions,294.0
Earthworks and remediation,98.0
Process engineering,58.8
Vehicle functions,39.2
Flora and fauna elements,5.88
