,third_level
Openings and opening component products,1451
Furnishings,1014
Structure and general products,886
Sanitary fittings and accessories,811
Space heating and cooling products,619
Hardware products,406
Power and lighting outlet products,351
Services support and containment products,345
Air and fume distribution products,305
Trim products,264
"Non-rigid sheet, mat and strip covering and finish products",209
Unit covering and finish products,144
Handrails,68
"Floor plates, gratings and edgings",50
Treads and landing units,23
Support and restraint products,9
Prefabricated buildings and structures,8
Sectional products,8
Glass blocks and panels,7
Masonry walling units,7
