third_level,price_latest
Space heating and cooling products,153976.8
Structure and general products,129457.47
Air and fume distribution products,126236.63
Furnishings,92570.89
Openings and opening component products,87592.85
Sanitary fittings and accessories,34550.1
Hardware products,33640.97
Services support and containment products,25214.1
Trim products,18378.2
Treads and landing units,13125.0
Power and lighting outlet products,12984.369999999999
Unit covering and finish products,2806.73
"Non-rigid sheet, mat and strip covering and finish products",2277.44
Handrails,1279.25
Glass blocks and panels,1255.0
Fastener products,1000.0
Masonry walling units,635.0
"Floor plates, gratings and edgings",596.12
Sectional products,310.0
Prefabricated buildings and structures,241.0
Safety cages,220.0
Support and restraint products,80.0
Wire structure and general products,63.0
Formless structure and general products,49.0
