third_level,price_latest
Other,285420.42
Space heating and cooling products,123230.62
Furnishings,113883.1
Handrails,60703.95
Air and fume distribution products,42836.66
Glass blocks and panels,32547.56
Openings and opening component products,22276.83
Power and lighting outlet products,17419.08
Hardware products,14994.99
Safety cages,12578.0
Sanitary fittings and accessories,10216.06
Fastener products,10062.0
Walling units,7786.42
Structural roofing units,7423.0
Shaft-lining products,6689.0
"Lighting columns, brackets and bollards",5494.4400000000005
Support and restraint products,5019.0
"Floor plates, gratings and edgings",3235.29
Structural units,3199.0
Prefabricated buildings and structures,2738.0
"Non-rigid sheet, mat and strip covering and finish products",2438.36
Retaining wall units,1645.0
Sectional products,1362.0
Services support and containment products,1294.4
Headwall and swale inlet products,1117.0
Masonry walling units,1031.0
Unit covering and finish products,1014.0
Trim products,861.0
Treads and landing units,375.5
Wire structure and general products,274.24
Structure and general products,40.0
