French_Raw,price_latest
Fans,63670.64
Elevator bolts,52500.0
Heat pumps,38410.0
Bunk beds,36000.0
Manual revolving doorsets,24968.0
Air-to-air heat pumps,12000.0
Door catches,10997.5
Frameless glass door leaves,9421.0
Furnishings,9164.9
Radiators,8520.62
Office tables,7588.0
Concrete helical stair flight units,6000.0
Sinks,5518.6
Library chairs,5000.0
Electric sliding door mechanisms,3432.5
Bath panels,3063.0
Compressed air products,3000.0
Toilet showers,2896.0
Tripod turnstiles,2890.0
Bureaux,2810.0
Recessed downlights,2745.64
Vertical lifting fabric doors,2600.0
Wall-hung washbasins,2212.0
Chaises longues,2180.5
Sofas,2085.0
Concrete stair risers,2050.0
Roller shutters,2020.0
Metal stair spines,1950.0
Full-height access control gates,1890.0
Aluminium patent glazing bars,1854.0
Lantern lights,1844.0
Reclining treatment armchairs,1772.1
Concrete caisson rings,1689.0
Waterless toilets,1596.6299999999999
Marble dust,1506.42
Centrifugal fans,1500.0
Shelter structures,1500.0
Powered smoke and heat exhaust ventilators,1500.0
Console tables,1375.0
Sectional overhead doorsets,1362.0
Fireplace hearths,1300.0
Shower beds,1296.6599999999999
Suspended luminaires,1275.0
Benches,1270.0
Sliding folding doorsets,1190.0
Handrails,1184.25
Composite door leaves,1169.0
Baths,1062.5
Screening and ventilation access doors,1053.0
Prestressed concrete T-beams,1050.0
Corner guards,1024.4
Fishplates,1000.0
Meeting room tables,995.0
Stair rods,959.0
Area floodlights,900.0
Urinal cisterns,883.0
Dining chairs,882.0
Pile carpet tiles,810.64
Office chairs,795.0
Refrigerated display cabinet doors,770.0
Commodes,748.33
Shower trays,746.66
Packings,740.0
Resilient bars,726.0
Sliding door and partition sets,725.0
Kitchen sinks,645.8
Unit heaters,620.0
Gate arches,620.0
Profiled metal acoustic panels,617.4
Folding tables,610.0
Composite full-height turnstiles,600.0
Glazed security window panels,550.0
Wall hangings,507.8
Refractory bricks,500.0
Stand-up tables,500.0
Furniture booths,460.0
Lamps,450.33
Metal gate surrounds,450.0
Metal-framed structures,441.0
Demountable suspended ceiling grids,440.99
Stone slabs,432.5
Air and fume distribution products,420.0
Wood doorsets,420.0
Footrests,420.0
Stainless steel protection rails,416.5
Portable fire extinguishers,405.0
Aluminium door leaves,395.0
Slings,365.4
Ceramic sinks,360.38
Lighting controls and lighting distribution products,355.0
Lounge chairs,352.0
Mixer taps,350.5
Retaining wall tie rods,350.0
Doorsets,350.0
Commercial stainless steel sinks,345.01
Castors,320.0
Spotlights,317.4
Glass blocks,311.63
Concrete construction joint accessories,310.0
Boardroom tables,305.0
Concrete beams,300.0
Sliding shutter doorsets,300.0
Projection window hinges,300.0
Placemats,297.0
Gate hinges,290.0
Glazed structures,285.0
Hardwood cladding battens,283.0
Towels,275.27
Rack cabinets,270.0
Wood door frames,265.0
Shot-fire nails,256.4
Controlled door closers,253.0
Wood blocks,250.0
Shower heads,248.0
Single axis door hinges,245.0
Steel frame roof window units,245.0
Window walls,230.0
Bath mixer taps,228.0
Water fire extinguishers,223.0
Mosaic tiles,221.33
Composite door frames,210.0
Awnings,200.0
Dining benches,200.0
Points heating kits,200.0
Window panels,195.0
Lighting control modules,191.0
Shower thermostatic water supply sets,180.0
Bidet over-rim supply mixer taps,179.0
Cross-laminated timber beams,176.0
Stainless steel solid metal plates,171.2
Ceremonial chairs,170.0
Pile carpets,168.0
Underwater luminaires,165.0
Wood frames,160.0
Composite doorsets,160.0
Wood panelled door leaves,160.0
Wall-hung urinals,158.0
Barrier rails,155.0
Sink taps,155.0
Glass block wall panels,150.0
Accessible baths,150.0
Brackets,149.64
Foam fire extinguishers,145.0
Space frames,141.0
Tubular fluorescent lamps,140.0
Toilet roll holders,136.79
Metal sections,132.0
Smooth rubber sheets,132.0
Fibre washers,132.0
Louvre doorsets,130.0
Medical chairs and couches,130.0
Steel wedges,124.0
Suspended ceiling clips,122.0
High chairs,120.0
Door lever handle sets,118.95
Bidet mixer for ascending spray taps,116.0
Stools,115.0
Shower doors,114.5
Carbon steel subframes,110.0
Up-and-over doorsets,110.0
Solid rubber sheets,107.0
Deckchairs,105.0
Urinal and WC fittings,100.0
Aluminium window units,100.0
Air preparation units,100.0
Shower screens,100.0
Computer desks,100.0
Occasional tables,100.0
Clay bricks,100.0
Wallcovering borders,99.0
Ceramic tiles,99.0
Door latches,98.0
Ventilation ducts,95.0
Wood handrails,92.0
Bowl stands,90.0
Steel pier caps,90.0
Classroom seats,89.0
Pea gravel,86.0
Wall protection panels,81.0
Tufted carpets,80.5
Master clocks,80.0
Concrete posts,80.0
Gas fires,80.0
Door locks,76.95
Cellular rubber underlays,75.0
Ceramic tile round edges,75.0
Vanity units,75.0
Carbon steel doorsets,73.33
Wall and floor tile units,70.0
Rocker bearings,70.0
Aluminium wires,70.0
Concrete planks,69.0
Screen door closers,65.0
Urinal flush pipes,63.0
Bidets,62.0
Cladding support products,60.0
Cylinder locks,60.0
Classroom desks and tables,60.0
LED light panels,60.0
Panel partition closer pieces,60.0
Blackout blinds,60.0
Hardwood beams,59.0
Cover strips,55.0
Light-gauge steel floors and roofs,55.0
Urinal dividers,55.0
Composite tiles,55.0
Lead cames,53.75
Metal suspended ceiling hangers,53.33
Lift landing doorsets,50.0
Pavement heating products,50.0
Access panels,50.0
Antenna poles,50.0
Ventilation grilles,50.0
Tablecloths,50.0
Valances,50.0
Unit covering and finish products,50.0
Carbon steel fencing and barrier rails,49.2
Murals,47.0
Flexible stair coverings,46.5
Pedestrian security portals,45.0
Surface luminaires,45.0
Concrete tiles,45.0
Door hinges,45.0
Pull handles,45.0
Auditorium chairs,45.0
Dry powder fire extinguishers,40.0
Pedestal washbasins,40.0
Plaster of Paris,40.0
Security shutters,40.0
Security viewers,40.0
Cellular glass thermal blocks,40.0
Desks,40.0
Terrazzo tiles,40.0
Door coordinators,40.0
Healthcare hand rinse basins,40.0
Structure and general products,40.0
Expanded glass aggregates,40.0
Eye bolts,40.0
Spittoons,40.0
Concrete solid slabs,37.0
Stone stair landing units,35.0
Lighting tracks,35.0
Natural convectors,35.0
Porcelain tiles,35.0
Copyholders,32.5
Retaining wall units,32.0
Electric fence ropes,30.6
Grommets,30.0
Bracketed angle supports,30.0
Bullhead rail chairs,30.0
Carbon steel hoops,30.0
Stainless steel access hatches,30.0
Uncontrolled door closers,30.0
Mechanical clocks,30.0
Synthetic rubber strips,30.0
Lifting hoops,30.0
Floor-standing urinals,29.0
Glass wool cloth insulation protection,27.0
Radiator pipe floor covers,25.0
Sink supports,25.0
Double beds,25.0
Fire extinguisher cabinets,25.0
Trolleys,25.0
Light tables,23.0
Climatic beams and ceilings,21.0
Ceramic tile sit-on skirtings,20.0
Aluminium cold drawn tubes,20.0
Room heaters,20.0
Ashtrays,20.0
Cavity ventilators,20.0
Prie-dieux,20.0
Pendant luminaires,20.0
Softwood posts,20.0
Floor springs,20.0
Rubber tiles,18.0
"Carpets, carpet tiles, coverings, underlays and mats",16.0
Linoleum tiles,16.0
Softwood edgings,15.0
Bin stores,15.0
Stone tiles,15.0
Sanitary accessories,15.0
Timber sleepers,15.0
Concrete floating slab foundations,15.0
