,Feature,Importance
964,location_NEUILLY-SUR-SEINE,0.045797344
982,location_PARIS-9E-ARRONDISSEMENT,0.033148397
977,location_PARIS-1ER-ARRONDISSEMENT,0.03065727
1014,material_type_new,0.027199004
985,location_PUTEAUX,0.020693043
974,location_PARIS-15E-ARRONDISSEMENT,0.02021473
885,location_AUBAGNE,0.019645257
969,location_PARIS-10E-ARRONDISSEMENT,0.019540729
986,location_RENNES,0.019466588
909,location_CHEVILLY-LARUE,0.019350829
883,location_ARGENTEUIL,0.01789399
935,location_LA MADELEINE,0.017852195
987,location_RUNGIS,0.01764149
983,location_PLOEREN,0.017438842
1015,material_type_reconditioned,0.017395578
910,location_CHOLET,0.015666554
927,location_GENNEVILLIERS,0.014825214
1006,location_VILLENEUVE-SAINT-GEORGES,0.01471833
950,location_MARSEILLE--2E--ARRONDISSEMENT,0.013238596
190,category_windows,0.011784066
972,location_PARIS-13E-ARRONDISSEMENT,0.011740857
10,material_state_correct,0.011245673
951,location_MARSEILLE-13E--ARRONDISSEMENT,0.011029324
43,category_desc,0.010505136
963,location_NANTES,0.009143614
956,location_MONTIGNY-LES-CORMEILLES,0.008824997
158,category_seated,0.008557949
975,location_PARIS-16E-ARRONDISSEMENT,0.008545729
1064,material_emb_Clinker,0.008542961
27,category_bath_and_toilet_accessories,0.008039141
1132,material_emb_Net,0.007803521
971,location_PARIS-12E-ARRONDISSEMENT,0.007641565
961,location_NANCY,0.0075358874
1044,material_emb_Aluminium,0.007336634
922,location_EPERNAY,0.007247395
1,price_latest,0.006783973
97,category_linoleum_pvc_vinyl,0.0067133186
693,BIM_class_D.50.20.02.13,0.0065634074
895,location_BRIANCON,0.0064805564
944,location_LYON--3E--ARRONDISSEMENT,0.006478672
1001,location_SAVIGNY-SUR-ORGE,0.006440832
1003,location_TOULOUSE,0.0064174733
2037,second_level_Furnishings,0.006413779
904,location_CHATILLON,0.006250589
902,location_CHATEAUROUX,0.0060836645
897,location_CHAMPS-SUR-MARNE,0.0060733566
11,material_state_damaged,0.0060371486
984,location_PONTCHARRA,0.0058791735
491,BIM_class_C.30.20.04.3d,0.0058332733
2,price_change,0.005669693
618,BIM_class_D.30.30.01.4,0.005607489
945,location_LYON--6E--ARRONDISSEMENT,0.0055591483
2071,third_level_Wire structure and general products,0.00555753
371,BIM_class_C.10.20.01.2e,0.0054916237
981,location_PARIS-8E-ARRONDISSEMENT,0.005262444
13,material_state_reconditioned,0.0052037863
1391,French_Raw_Lacquers,0.0050967787
162,category_simple_solid_doors,0.0050107483
0,price_initial,0.0048729694
978,location_PARIS-20E-ARRONDISSEMENT,0.004764465
938,location_LES SABLES-D'OLONNE,0.004712761
980,location_PARIS-6E-ARRONDISSEMENT,0.0045444216
1012,location_Wavre,0.0045413757
139,category_ovens,0.0045242105
20,category_air_handling_unit,0.0043748543
911,location_CLERMONT-FERRAND,0.0043571866
1409,French_Raw_Manual trapdoors,0.004328308
992,location_SAINT-OUEN,0.004048713
117,category_other_furniture,0.0040432983
388,BIM_class_C.10.20.02.1b,0.004015216
930,location_GRIGNY,0.0039622006
492,BIM_class_C.30.20.04.3e,0.0039615906
2047,third_level_Hardware products,0.003823382
907,location_CHELLES,0.0037671328
916,location_CRAS,0.0037161182
2042,"third_level_Floor plates, gratings and edgings",0.0036696473
900,location_CHASSELAY,0.003615341
57,category_false_floor,0.0035712724
970,location_PARIS-11E-ARRONDISSEMENT,0.003534623
431,BIM_class_C.10.30.02.5,0.0032805863
932,location_ISSY-LES-MOULINEAUX,0.0032780697
774,BIM_class_E.20.20.05.3b,0.0032264679
648,BIM_class_D.30.50.03.2,0.0031966772
2062,third_level_Space heating and cooling products,0.0031919659
