firstb_level,LastPriceNumeric
Wall and barrier elements,166963.53100000002
"Roofs, floor and paving elements",88509.6996
Other,26768.9548
Stairs and ramps,26525.66
"Signage, fittings, furnishings and equipment",20490.339799999998
"Communications, security, safety and protection functions",12187.2506
Structural elements,11888.497599999999
"Heating, cooling and refrigeration functions",9602.431999999999
Flora and fauna elements,6999.699
"Tunnel, vessel and tower elements",4364.1948
Electrical power and lighting functions,4227.23
Transport functions,3948.42
Piped supply functions,3636.7799999999997
Ventilation and air conditioning functions,3462.34
Waste disposal functions,2469.6
Earthworks and remediation,0.98
