,uni
Windows,184
Doors,164
Other,102
Domed roofs,61
Drainage treatment and disposal,56
"Roofs, floor and paving elements",52
Rail tracks,47
Walls,34
Stairs,33
Pavements,32
Cooling,30
Solid structures,30
Lighting,30
Roofs,28
Framed structures,27
Heating,19
Fences,17
Space heating and cooling,16
Furnishings,16
Arched roofs,16
Pylons,16
"Signage, fittings, furnishings and equipment",15
Artworks,13
Gates,13
Floors,13
Curved roofs,11
Wall and barrier elements,10
Vents,9
Grass and meadow elements,8
Parapet walls,8
Equipment,8
Gantries,8
Immersed tube tunnels,8
Flat roofs,7
Internal walls,7
Protection,7
Ceilings,6
Openings,6
Louvres,6
Cable transport,5
Free-standing walls,5
Water extraction and treatment,5
Ventilation,5
Hatches,5
Soffits,5
Fittings,5
Communication,4
Composite structures,4
Drying,4
"Tree, shrub and herbaceous plant elements",4
Mezzanine floors,4
External lighting,4
Bridge decks,3
Ceilings and soffits,3
Signage,3
Security,3
Tramway heating,3
Masts,3
Wastewater treatment and disposal,3
Rail and paving heating,3
External stairs,3
Chimneys,3
Pavement heating,3
Railway heating,2
Conveyors,2
Wastewater treatment inlet works,2
Gaseous fire-extinguishing supply,2
Bridge structures,2
Internal stairs,2
Mezzanine level,2
Piers,2
Trenches,2
Building levels,2
Air conditioning,2
Structural elements,2
"Remediation, repair and renovation",2
Cut-and-cover tunnels,2
Safety and protection,2
Aeronautical lighting,2
External ramps,2
Fixed barriers,2
Vehicular space ventilation,2
Refrigeration,1
Process liquid supply,1
Superstructure,1
"Combined heating, cooling and power",1
Decks,1
Pitched roofs,1
Towers,1
Cable management,1
Bearings,1
Basement level,1
Central air conditioning,1
Waste disposal functions,1
Dry waste collection,1
Rolling stock,1
Water fire suppression supply,1
Ramps,1
"Metering, monitoring and management",1
Water supply,1
Structural monitoring,1
Land fauna elements,1
Cold storage,1
Stairs and ramps,1
Vehicular pavements,1
Personnel lifts,1
Irrigation water supply,1
Membrane structures,1
External walls,1
Transmission switching,1
Fire-extinguishing supply,1
"Towers, chimneys and masts",1
Liquid detection and alarms,1
Piped solids supply,1
Cranes and hoists,1
Foam fire-extinguishing supply,1
Ground level,1
