third_level,LastPrice
Other,216754.0
"Floor plates, gratings and edgings",156886.0
Space heating and cooling products,142801.0
Sanitary fittings and accessories,139285.0
Glass blocks and panels,111335.0
Furnishings,92621.0
"Lighting columns, brackets and bollards",86555.0
Power and lighting outlet products,55411.0
Prefabricated buildings and structures,46351.0
Trim products,29736.0
Unit covering and finish products,21058.0
Handrails,20510.0
Masonry walling units,20035.0
Headwall and swale inlet products,16479.0
Walling units,16119.0
Structural roofing units,14320.0
Air and fume distribution products,9381.0
Wire structure and general products,8972.0
Fastener products,7711.0
Sectional products,5443.0
Treads and landing units,5412.0
Shaft-lining products,4869.0
Safety cages,4034.0
"Non-rigid sheet, mat and strip covering and finish products",2331.0
Hardware products,1860.0
Formless structure and general products,1399.0
Openings and opening component products,1200.0
Retaining wall units,758.0
Structure and general products,754.0
Support and restraint products,491.0
Structural units,370.0
Services support and containment products,50.0
