fourth_level,Price
Artworks,57115.13999999999
Chimneys,17712.18
Other,9786.9
Aeronautical lighting,9370.8
Sludge treatment,9256.8
Gates,7979.999999999999
Arched roofs,6453.539999999999
Cut-and-cover tunnels,5471.999999999999
Runway heating,3043.7999999999997
Louvres,2510.2799999999997
Central air conditioning,2451.0
Doors,2422.5
Wastewater treatment inlet works,1826.2799999999997
Gaseous fire-extinguishing supply,1265.3999999999999
Railway heating,813.9599999999999
Parapet walls,483.35999999999996
Vessels,398.99999999999994
Abutments,370.49999999999994
Framed structures,205.2
Mechanical above-ground drainage,182.39999999999998
Laboratory gas supply,108.3
Foam fire-extinguishing supply,88.91999999999999
Bearings,82.08
Ground floors,28.499999999999996
