,Feature,Importance
337,Location_D-28217 Bremen,0.3261718
2023,first_level_Furnishings,0.043302655
2033,material_emb_Concrete,0.040634006
2038,material_emb_Lignite,0.03928582
2026,"first_level_Roof, Slabs, Stairs",0.03660929
2044,material_emb_Sitka spruce,0.031344973
2031,material_emb_Architectural glass,0.03111659
2025,first_level_Other,0.028352793
2035,material_emb_Granule,0.02295796
2041,material_emb_Pisé,0.019503256
190,Location_D-14055 Berlin,0.019291114
2029,"first_level_Wall, Barriers, Pannels",0.019219683
1944,Hersteller_Velux,0.017865445
2028,first_level_Technical elements,0.016726935
2046,material_emb_Weathering steel,0.015168279
2,Location_12 Monate Gewährleistung,0.014449567
2039,material_emb_Masonry cement,0.014371494
2024,first_level_Openings,0.013867922
2037,material_emb_Heat-resistant concrete,0.013393743
1315,Location_Gebraucht,0.012888771
1340,Location_neuwertig,0.0114396205
1496,Hersteller_Duravit,0.010577305
84,Location_D-06120 Halle (Saale),0.010315231
706,Location_D-57271 Hilchenbach,0.010274512
1637,Hersteller_Isover,0.009516144
1859,Hersteller_Schüco,0.009438049
1823,Hersteller_Roto,0.009125266
248,Location_D-19288 Ludwigslust,0.009108838
1676,Hersteller_Knauf,0.008951841
2034,material_emb_Encaustic,0.008666534
479,Location_D-40213 Düsseldorf,0.008600434
2036,material_emb_Gravel,0.008534324
2043,material_emb_Silt,0.008408632
2030,material_emb_Aerogel,0.007844317
135,Location_D-10178 Berlin,0.0072007985
0,LastPriceNumeric,0.0066268956
1260,Location_D-93326 Abensberg,0.0065596243
2045,material_emb_Soil,0.006431778
1324,Location_Neu,0.006329455
1489,Hersteller_Drutex,0.0053719464
417,Location_D-34132 Kassel,0.005089155
2040,material_emb_Peat,0.004944482
482,Location_D-40229 Düsseldorf,0.0048784306
42,Location_D-01558 Grossenhain,0.004664064
1633,Hersteller_Internorm,0.0041025192
1156,Location_D-85622 Feldkirchen,0.004036226
2027,first_level_Structural elements,0.004022863
563,Location_D-47226 Duisburg,0.0031895074
1339,Location_gut,0.0031728034
2021,Hersteller_unbekannt,0.0030617225
2042,material_emb_Proprietary concrete,0.002931775
1325,Location_Neuwertig,0.0028703236
1821,Hersteller_Rockwool,0.0027194805
1620,Hersteller_Hörmann,0.0020052933
1,Location_,0.0016549325
434,Location_D-35447 Reiskirchen,0.00081278017
1365,Hersteller_Acetat,0.0
1381,Hersteller_Arbonia,0.0
1368,Hersteller_Akurit,0.0
1379,Hersteller_Amf / Knauf,0.0
1382,Hersteller_Arcelor Mittall,0.0
1383,Hersteller_Ardex,0.0
